ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.25666678,0.30487806,0,0.69512194,17.719513
3600,0.25626025,0.6097561,0,1.3902439,17.719513
3601,0.25731716,0.9390244,0,2.0609756,56.963413
3602,0.25528467,1.2682927,0,2.7317073,74.68293
3603,0.25487813,1.597561,0,3.402439,74.68293
3604,0.25487813,1.9268292,0,4.0731707,74.68293
3605,0.25487813,2.2439024,0,4.756098,74.68293
3606,0.25512204,2.5731707,0,5.4268293,122.243904
3607,0.25308955,2.890244,0,6.109756,122.243904
3608,0.25593507,3.2317073,0,6.768293,173.86586
3609,0.25504076,3.5731707,0,7.4268293,173.86586
3610,0.25504076,3.902439,0,8.097561,173.86586
3611,0.2582928,4.219512,0,8.780488,173.86586
3612,0.2585367,4.5365853,0,9.463414,173.86586
3613,0.26032528,4.8536587,0,10.146341,173.86586
3614,0.2605692,5.1707315,0,10.829268,173.86586
3615,0.2605692,5.4634147,0,11.536586,173.86586
3616,0.2629269,5.768293,0,12.231708,202.45122
3617,0.2609757,6.085366,0,12.914634,249.92683
3618,0.26073182,6.414634,0,13.585366,261.02438
3619,0.2595123,6.743902,0,14.256098,261.02438
3620,0.2595123,7.0365853,0,14.963414,261.02438
3621,0.2595123,7.3292685,0,15.670732,261.02438
3622,0.26162612,7.634146,0,16.365854,294.65854
3623,0.25804886,7.9268293,0,17.073172,310.5122
3624,0.25804886,8.195122,0,17.804878,310.5122
3625,0.25804886,8.463414,0,18.536585,310.5122
3626,0.2598375,8.731708,0,19.268293,342.2195
3627,0.25878057,9,0,20,342.2195
3628,0.2589432,9.268292,0,20.731707,342.2195
3629,0.26195133,9.536586,0,21.463415,367.2805
3630,0.25975618,9.804878,0,22.195122,367.2805
3631,0.26048788,10.073171,0,22.926828,367.2805
3632,0.26284564,10.353659,0,23.646341,379.9634
3633,0.26219523,10.634147,0,24.365854,379.9634
3634,0.26219523,10.902439,0,25.09756,379.9634
3635,0.2626017,11.170732,0,25.829268,379.9634
3636,0.26650414,11.463414,0,26.536585,431.2561
3637,0.26447165,11.756098,0,27.243902,448.97562
3638,0.26495945,12.04878,0,27.95122,471.39026
3639,0.26471555,12.317073,0,28.682926,471.39026
3640,0.26471555,12.585366,0,29.414635,471.39026
3641,0.26544726,12.853659,0,30.146341,492.2439
3642,0.26601636,13.146341,0,30.853659,558.2317
3643,0.26504076,13.414634,0,31.585365,558.2317
3644,0.26658547,13.682927,0,32.317074,575.95123
3645,0.26520336,13.95122,0,33.048782,575.95123
3646,0.26617894,14.231708,0,33.76829,597.9756
3647,0.26406515,14.52439,0,34.47561,615.6951
3648,0.26512206,14.804878,0,35.19512,637.7195
3649,0.26463422,15.097561,0,35.90244,670.40247
3650,0.26414645,15.365853,0,36.634148,670.40247
3651,0.26414645,15.634147,0,37.365852,670.40247
3652,0.26414645,15.902439,0,38.09756,670.40247
3653,0.26455292,16.182926,0,38.817074,686.2561
3654,0.2592684,16.463415,0,39.536587,686.2561
3655,0.2592684,16.743902,0,40.256096,686.2561
3656,0.25934967,17.036585,0,40.963413,708.6707
3657,0.2582928,17.329268,0,41.67073,708.6707
3658,0.2582928,17.609756,0,42.390244,708.6707
3659,0.2582928,17.865854,0,43.134148,708.6707
3660,0.26300824,18.121952,0,43.878048,726.39026
3661,0.2633334,18.390244,0,44.609756,742.2439
3662,0.26284564,18.670732,0,45.32927,766.0244
3663,0.2613009,18.95122,0,46.048782,766.0244
3664,0.2616261,19.219513,0,46.780487,766.0244
3665,0.2616261,19.475609,0,47.52439,766.0244
3666,0.2616261,19.731707,0,48.26829,766.0244
3667,0.2616261,19.987804,0,49.012196,766.0244
3668,0.2616261,20.231707,0,49.76829,766.0244
3669,0.2630082,20.487804,0,50.512196,788.439
3670,0.2626017,20.743902,0,51.256096,788.439
3671,0.2630082,21,0,52,810.85364
3672,0.26422775,21.292683,0,52.707317,851.3171
3673,0.2587806,21.59756,0,53.40244,869.03656
3674,0.2582115,21.890244,0,54.109756,869.03656
3675,0.2582115,22.182926,0,54.817074,869.03656
3676,0.259431,22.487804,0,55.512196,891.45123
3677,0.25934967,22.804878,0,56.19512,913.86584
3678,0.262683,23.109756,0,56.890244,977.2805
3679,0.26146352,23.40244,0,57.59756,977.2805
3680,0.26154482,23.682926,0,58.317074,977.2805
3681,0.26154482,23.963415,0,59.036587,977.2805
3682,0.26154482,24.243902,0,59.756096,977.2805
3683,0.26910576,24.54878,0,60.451218,1028.622
3684,0.26300824,24.829268,0,61.17073,1028.622
3685,0.26341474,25.121952,0,61.878048,1051.0366
3686,0.2606505,25.40244,0,62.59756,1051.0366
3687,0.2616261,25.695122,0,63.30488,1074.817
3688,0.26121962,25.975609,0,64.02439,1074.817
3689,0.262683,26.256098,0,64.743904,1090.6708
3690,0.25934967,26.524391,0,65.47561,1090.6708
3691,0.25934967,26.780487,0,66.21951,1090.6708
3692,0.2613822,27.04878,0,66.95122,1103.3536
3693,0.2613009,27.329268,0,67.67073,1121.0731
3694,0.2598375,27.621952,0,68.37805,1144.8536
3695,0.25707325,27.90244,0,69.097565,1144.8536
3696,0.25707325,28.182926,0,69.81707,1144.8536
3697,0.25707325,28.463415,0,70.53658,1144.8536
3698,0.25715455,28.756098,0,71.243904,1198.9756
3699,0.25674805,29.04878,0,71.95122,1198.9756
3700,0.2613009,29.353659,0,72.64634,1230.683
3701,0.25894317,29.658537,0,73.34146,1230.683
3702,0.25894317,29.95122,0,74.04878,1230.683
3703,0.25894317,30.231707,0,74.768295,1230.683
3704,0.26211393,30.524391,0,75.47561,1262.9756
3705,0.26032528,30.829268,0,76.17073,1278.8292
3706,0.25926837,31.158537,0,76.84146,1324.6342
3707,0.25666678,31.5,0,77.5,1347.0488
3708,0.26146352,31.853659,0,78.14634,1369.0731
3709,0.2578863,32.219513,0,78.78049,1394.1342
3710,0.25569114,32.585365,0,79.414635,1394.1342
3711,0.25829276,32.963413,0,80.03658,1428.4025
3712,0.2617074,33.353657,0,80.64634,1439.5
3713,0.2606505,33.73171,0,81.268295,1439.5
3714,0.2606505,34.07317,0,81.92683,1439.5
3715,0.26642287,34.414635,0,82.585365,1463.2805
3716,0.26650414,34.76829,0,83.231705,1485.6951
3717,0.26569116,35.121952,0,83.87805,1485.6951
3718,0.27048793,35.487804,0,84.51219,1524.6586
3719,0.2684554,35.841465,0,85.15854,1524.6586
3720,0.2713822,36.182926,0,85.81707,1553.2439
3721,0.2700001,36.52439,0,86.47561,1553.2439
3722,0.27211392,36.878048,0,87.12195,1578.3049
3723,0.2713009,37.23171,0,87.768295,1578.3049
3724,0.2713009,37.585365,0,88.414635,1578.3049
3725,0.2713009,37.90244,0,89.097565,1578.3049
3726,0.2713009,38.219513,0,89.78049,1578.3049
3727,0.2713009,38.52439,0,90.47561,1578.3049
3728,0.2713009,38.82927,0,91.17073,1578.3049
3729,0.2713009,39.121952,0,91.87805,1578.3049
3730,0.2713009,39.414635,0,92.585365,1578.3049
3731,0.27471554,39.707317,0,93.29269,1600.7195
3732,0.27195132,40.012196,0,93.98781,1618.439
3733,0.27211392,40.32927,0,94.67073,1629.5366
3734,0.27146348,40.646343,0,95.35366,1662.2195
3735,0.27073178,40.951218,0,96.04878,1662.2195
3736,0.2708131,41.256096,0,96.743904,1684.6342
3737,0.2708944,41.57317,0,97.42683,1700.4878
3738,0.26764235,41.890244,0,98.10976,1700.4878
3739,0.26772368,42.219513,0,98.78049,1724.2683
3740,0.26626024,42.52439,0,99.47561,1724.2683
3741,0.26626024,42.82927,0,100.17073,1724.2683
3742,0.26626024,43.121952,0,100.87805,1724.2683
3743,0.26626024,43.414635,0,101.585365,1724.2683
3744,0.26626024,43.707317,0,102.29269,1724.2683
3745,0.26626024,44,0,103,1724.2683
3746,0.26626024,44.26829,0,103.731705,1724.2683
3747,0.26634154,44.536587,0,104.46342,1748.0488
3748,0.26601636,44.780487,0,105.21951,1748.0488
3749,0.26658547,45.02439,0,105.97561,1781.683
3750,0.26707327,45.26829,0,106.731705,1805.4634
3751,0.26813015,45.512196,0,107.48781,1823.183
3752,0.26715454,45.756096,0,108.243904,1823.183
3753,0.27016264,45.987804,0,109.01219,1840.9025
3754,0.26512203,46.207317,0,109.79269,1840.9025
3755,0.26512203,46.42683,0,110.57317,1840.9025
3756,0.26512203,46.646343,0,111.35366,1840.9025
3757,0.26512203,46.853657,0,112.14634,1840.9025
3758,0.26512203,47.048782,0,112.95122,1840.9025
3759,0.26512203,47.243904,0.0121951215,113.743904,1840.9025
3760,0.2662602,47.42683,0.024390243,114.54878,1872.6097
3761,0.2635773,47.609756,0.036585364,115.35366,1872.6097
3762,0.26552853,47.780487,0.048780486,116.17073,1872.6097
3763,0.26634154,47.987804,0.06097561,116.95122,1943.9756
3764,0.26487812,48.182926,0.07317073,117.743904,1943.9756
3765,0.26487812,48.378048,0.085365854,118.53658,1943.9756
3766,0.26487812,48.585365,0.09756097,119.31707,1967.7561
3767,0.2639838,48.792683,0.1097561,120.097565,1967.7561
3768,0.26536593,49.012196,0.1097561,120.87805,1985.4756
3769,0.2612196,49.23171,0.1097561,121.65854,1985.4756
3770,0.2639838,49.463413,0.1097561,122.42683,2017.183
3771,0.2619513,49.69512,0.1097561,123.19512,2017.183
3772,0.2619513,49.939026,0.1097561,123.95122,2028.2805
3773,0.26154476,50.17073,0.1097561,124.71951,2028.2805
3774,0.26178867,50.390244,0.1097561,125.5,2028.2805
3775,0.26195127,50.609756,0.1097561,126.28049,2046
3776,0.26195127,50.817074,0.1097561,127.07317,2046
3777,0.26243907,51.02439,0.1097561,127.86585,2046
3778,0.26243907,51.219513,0.1097561,128.67073,2046
3779,0.2630082,51.414635,0.1097561,129.47562,2071.061
3780,0.2628456,51.609756,0.1097561,130.28049,2071.061
3781,0.2628456,51.792683,0.1097561,131.09756,2071.061
3782,0.2630895,51.987804,0.1097561,131.90244,2099.6462
3783,0.2598375,52.182926,0.1097561,132.70732,2099.6462
3784,0.26121962,52.390244,0.1097561,133.5,2115.5
3785,0.260244,52.59756,0.1097561,134.29268,2115.5
3786,0.260244,52.80488,0.1097561,135.08537,2115.5
3787,0.260244,53.012196,0.1097561,135.87805,2115.5
3788,0.26040658,53.23171,0.1097561,136.65854,2139.695
