ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.7216,0.2784,0.7216,0
3600,0.7284,0.5548,1.4452,8.3164
3601,0.7292,0.8314,2.1686,10.3714
3602,0.7492,1.1088,2.8912,60.0482
3603,0.7586,1.3824,3.6176,68.9682
3604,0.7612,1.6574,4.3426,76.5442
3605,0.7612,1.9324,5.0676,76.5442
3606,0.7612,2.2074,5.7926,76.5442
3607,0.7646,2.4812,6.5188,79.7408
3608,0.765,2.7546,7.2454,79.7408
3609,0.7734,3.0314,7.9686,96.8862
3610,0.7734,3.3082,8.6918,96.8862
3611,0.775,3.5834,9.4166,96.8862
3612,0.7756,3.858,10.142,96.8862
3613,0.7772,4.131,10.869,96.8862
3614,0.7804,4.4058,11.5942,103.3862
3615,0.7836,4.6774,12.3226,103.3862
3616,0.7888,4.9472,13.0528,110.3732
3617,0.8084,5.236,13.764,170.0004
3618,0.809,5.5242,14.4758,170.0004
3619,0.809,5.8124,15.1876,170.0004
3620,0.8156,6.1044,15.8956,186.23
3621,0.8166,6.3954,16.6046,186.23
3622,0.8186,6.6876,17.3124,192.1116
3623,0.8266,6.9862,18.0138,222.2836
3624,0.8276,7.2838,18.7162,222.2836
3625,0.8364,7.585,19.415,234.1916
3626,0.8368,7.8858,20.1142,234.1916
3627,0.8532,8.184,20.816,270.9866
3628,0.8594,8.481,21.519,280.1766
3629,0.8654,8.775,22.225,286.3416
3630,0.8702,9.0772,22.9228,309.8196
3631,0.8722,9.3792,23.6208,312.1596
3632,0.894,9.6784,24.3216,339.982
3633,0.8944,9.9772,25.0228,339.982
3634,0.896,10.2764,25.7236,343.882
3635,0.8986,10.5758,26.4242,347.9504
3636,0.8986,10.8752,27.1248,347.9504
3637,0.8998,11.176,27.824,351.7282
3638,0.9176,11.486,28.514,413.265
3639,0.925,11.7998,29.2002,427.825
3640,0.9324,12.1172,29.8828,442.125
3641,0.9324,12.4346,30.5654,442.125
3642,0.9328,12.7522,31.2478,443.8692
3643,0.9494,13.0702,31.9298,460.8638
3644,0.9504,13.3872,32.6128,460.8638
3645,0.9602,13.7128,33.2872,491.7644
3646,0.9674,14.0332,33.9668,493.6564
