ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.7268,0.2732,0.7268,0
3600,0.7272,0.546,1.454,0
3601,0.733,0.8222,2.1778,22.7152
3602,0.733,1.0984,2.9016,22.7152
3603,0.748,1.3716,3.6284,45.7056
3604,0.748,1.6448,4.3552,45.7056
3605,0.748,1.918,5.082,45.7056
3606,0.7516,2.1922,5.8078,52.3894
3607,0.7522,2.4662,6.5338,53.4294
3608,0.7602,2.7454,7.2546,72.609
3609,0.7618,3.023,7.977,72.609
3610,0.7662,3.3004,8.6996,80.3286
3611,0.7662,3.5778,9.4222,80.3286
3612,0.7674,3.854,10.146,80.3286
3613,0.771,4.1266,10.8734,80.3286
3614,0.7724,4.3978,11.6022,80.3286
3615,0.7836,4.666,12.334,90.9886
3616,0.7928,4.9422,13.0578,115.9802
3617,0.8066,5.2194,13.7806,134.3708
3618,0.821,5.4954,14.5046,154.0092
3619,0.8246,5.769,15.231,155.9388
3620,0.8246,6.0426,15.9574,155.9388
3621,0.8302,6.3184,16.6816,166.5234
3622,0.8302,6.5942,17.4058,166.5234
3623,0.8302,6.87,18.13,166.5234
3624,0.8302,7.1458,18.8542,166.5234
3625,0.8412,7.4206,19.5794,175.6234
3626,0.8512,7.6974,20.3026,208.7194
3627,0.8512,7.9742,21.0258,208.7194
3628,0.8518,8.2504,21.7496,208.7194
3629,0.8552,8.5268,22.4732,212.125
3630,0.8552,8.8032,23.1968,212.125
3631,0.8816,9.072,23.928,240.9338
3632,0.882,9.3404,24.6596,240.9338
3633,0.8858,9.609,25.391,246.1338
3634,0.889,9.8766,26.1234,249.3304
3635,0.8992,10.154,26.846,271.8344
3636,0.9144,10.4238,27.5762,285.8858
3637,0.9342,10.7058,28.2942,349.8162
3638,0.9364,10.9886,29.0114,352.9362
3639,0.9406,11.2746,29.7254,362.5562
3640,0.9408,11.5608,30.4392,362.985
3641,0.944,11.8518,31.1482,377.2218
3642,0.9456,12.142,31.858,378.3842
3643,0.9526,12.4308,32.5692,389.8922
3644,0.9704,12.7318,33.2682,439.8414
3645,0.973,13.0362,33.9638,455.4414
3646,0.9732,13.3404,34.6596,455.4414
3647,0.9738,13.6462,35.3538,459.1196
3648,0.986,13.9576,36.0424,484.983
3649,0.9972,14.2668,36.7332,498.06
3650,1.004,14.571,37.429,500.4
3651,1.006,14.8732,38.1268,500.4
3652,1.0174,15.1806,38.8194,527.888
3653,1.0204,15.4894,39.5106,535.9752
3654,1.0224,15.7962,40.2038,535.9752
3655,1.0244,16.101,40.899,535.9752
3656,1.0262,16.4054,41.5946,538.5484
3657,1.0262,16.7098,42.2902,538.5484
3658,1.0364,17.0166,42.9834,560.7388
3659,1.0414,17.3184,43.6816,560.7388
3660,1.0414,17.6202,44.3798,560.7388
3661,1.0434,17.92,45.08,560.7388
3662,1.0562,18.2214,45.7786,592.874
3663,1.0632,18.5258,46.4742,612.374
3664,1.0632,18.8302,47.1698,612.374
3665,1.0634,19.1344,47.8656,612.374
3666,1.0642,19.4378,48.5622,612.374
3667,1.0768,19.7352,49.2648,621.9638
3668,1.0844,20.0378,49.9622,644.6914
3669,1.0854,20.34,50.66,645.7942
3670,1.0854,20.6422,51.3578,645.7942
3671,1.0894,20.9436,52.0564,648.9978
3672,1.0968,21.2502,52.7498,663.619
3673,1.1096,21.5542,53.4458,680.6726
3674,1.1096,21.8582,54.1418,680.6726
3675,1.1096,22.1622,54.8378,680.6726
3676,1.1096,22.4662,55.5338,680.6726
3677,1.1236,22.774,56.226,710.3762
3678,1.129,23.0764,56.9236,710.3762
3679,1.1296,23.3782,57.6218,710.3762
3680,1.1302,23.6794,58.3206,710.3762
3681,1.1622,23.976,59.024,755.7438
3682,1.1628,24.272,59.728,755.7438
3683,1.1628,24.568,60.432,755.7438
3684,1.175,24.867,61.133,783.6814
3685,1.175,25.166,61.834,783.6814
3686,1.18,25.4666,62.5334,801.8842
3687,1.1848,25.766,63.234,806.5642
