name,city,lon,lat,id
Ehrengutstraße,München,48.1214,11.5573,137
Fraunhoferstraße,München,48.1279,11.5762,138
Corneliusbrücke,München,48.1293,11.5793,139
Aurbacherstraße,München,48.1224,11.5903,140
Dom-Pedro-Straße,München,48.1597,11.5375,141
Elisenstraße,München,48.1424,11.5616,142
Nymphenburg Süd,München,48.1463,11.5024,143
Hubertusbrunnen,München,48.1592,11.5301,144
Kolumbusplatz (Nord),München,48.1206,11.5766,145
Kolumbusplatz,München,48.1191,11.5765,146
St.-Cajetan-Straße,München,48.1214,11.599,147
Kolumbusplatz/Humboldtstraße,München,48.1192,11.5758,148
Volkartstraße Ost,München,48.1563,11.5375,149
Hanebergstraße,München,48.1626,11.5374,150
Marienplatz (Rindermarkt),München,48.1356,11.5737,151
Marienplatz Süd,München,48.1356,11.5737,152
Stiglmaierplatz,München,48.1471,11.5588,153
Maillingerstraße,München,48.1503,11.5446,154
Gaiglstraße,München,48.1524,11.5505,155
Rotkreuzplatz,München,48.153,11.5335,156
Oskar-von-Miller-Ring,München,48.1454,11.5755,157
Westfriedhof,München,48.1693,11.5284,158
Dantebad,München,48.1665,11.5275,159
Klugstraße,München,48.1642,11.529,160
St.-Galler-Straße,München,48.1597,11.5304,161
Neuhausen,München,48.1564,11.5314,162
Volkartstraße,München,48.1551,11.5326,163
Sadelerstraße,München,48.1686,11.5224,164
Winthirplatz,München,48.1519,11.5279,165
Dankwartstraße,München,48.1514,11.5237,166
Amalienburgstraße,München,48.1656,11.4932,167
Botanischer Garten,München,48.1645,11.5026,168
Maria-Ward-Straße,München,48.1637,11.507,169
Dall'Armistraße,München,48.1614,11.5113,170
Schloss Nymphenburg,München,48.1585,11.5115,171
Romanplatz,München,48.1556,11.5116,172
Steubenplatz,München,48.1501,11.5203,173
Briefzentrum,München,48.149,11.5244,174
Burghausener Straße,München,48.1473,11.5296,175
Kriemhildenstraße,München,48.1522,11.5154,176
Renatastraße,München,48.1566,11.5266,177
Hubertusstraße,München,48.156,11.5199,178
Marsstraße,München,48.145,11.5419,179
Deroystraße,München,48.1442,11.5454,180
Mettenstraße,München,48.1682,11.5145,181
Herthastraße,München,48.1493,11.5033,182
Kemnatenstraße,München,48.1513,11.5042,183
Hirschgartenallee,München,48.1529,11.5081,184
Nederlinger Straße,München,48.17,11.5107,185
Netzerstraße,München,48.1761,11.507,186
Skagerrakstraße,München,48.1727,11.5045,187
Baubergerstraße,München,48.1771,11.506,188
Hopfenstraße,München,48.1424,11.5544,189
Amphionpark,München,48.1734,11.5151,190
Schragenhofstraße,München,48.1725,11.5022,191
Lustheimstraße,München,48.1638,11.486,192
In den Kirschen,München,48.1672,11.5095,193
Bunzlauer Platz,München,48.1792,11.5071,194
Winfriedstraße,München,48.1474,11.5033,195
Nederlinger Straße (West),München,48.1707,11.5089,196
Theresienwiese,München,48.1357,11.5522,197
Schwanthalerhöhe,München,48.1335,11.5397,198
Theresienhöhe,München,48.1326,11.546,199
Westendstraße,München,48.1344,11.5227,200
Friedenheimer Straße,München,48.1351,11.5114,201
Laimer Platz,München,48.1355,11.503,202
Stadtwerke München,München,48.1712,11.5306,203
Olympiasee,München,48.1715,11.546,204
Sapporobogen,München,48.1694,11.5376,205
Angererstraße,München,48.1675,11.5705,206
Georg-Birk-Straße,München,48.164,11.557,207
Ackermannbogen,München,48.165,11.5562,208
Olympiapark Süd,München,48.1623,11.5519,209
Deidesheimer Straße,München,48.1686,11.5594,210
Margarete-Steiff-Straße,München,48.1802,11.5,211
Moosach,München,48.1804,11.5074,212
Pelkovenstraße,München,48.1811,11.5115,213
Hugo-Troendle-Straße,München,48.1793,11.5148,214
Wintrichring,München,48.1758,11.522,215
Hanauer Straße,München,48.1725,11.5282,216
Borstei,München,48.1697,11.533,217
Olympiapark West,München,48.1659,11.5379,218
Heideckstraße,München,48.1629,11.5422,219
Goethe-Institut,München,48.1629,11.5422,220
Gartenstraße,München,48.1723,11.5649,221
Ackermannstraße,München,48.1679,11.5649,222
Fasanerie,München,48.1969,11.5245,223
Herzogstraße,München,48.1635,11.5642,224
Georg-Brauchle-Ring,München,48.1764,11.5291,225
Ehrenbreitsteiner Straße,München,48.1873,11.5287,226
Riesstraße,München,48.1847,11.533,227
Bingener Straße,München,48.1822,11.5212,228
Olympia-Einkaufszentrum West,München,48.184,11.5314,229
Olympia-Einkaufszentrum Ost,München,48.1832,11.5368,230
Feldmoching,München,48.2139,11.5403,231
Olympia-Pressestadt,München,48.1798,11.5368,232
Lassallestraße,München,48.1871,11.5336,233
Olympiapark Nord,München,48.1863,11.5418,234
Lerchenauer Straße,München,48.186,11.5517,235
Olympiapark Eissportstadion,München,48.1761,11.5598,236
Curt-Mezger-Platz,München,48.1813,11.5669,237
Andernacher Straße,München,48.1856,11.5246,238
Anhalter Platz,München,48.1868,11.5622,239
Gärtnerstraße,München,48.1773,11.5363,240
Moosacher Straße,München,48.1872,11.5661,241
Olympia-Einkaufszentrum Süd,München,48.1822,11.5321,242
Dessauerstraße,München,48.1807,11.5317,243
Milbertshofener Platz,München,48.1845,11.5665,244
Schopenhauerstraße,München,48.1794,11.5639,245
Lüneburger Straße,München,48.1827,11.5631,246
Detmoldstraße,München,48.1924,11.5654,247
Schittgablerstraße,München,48.1914,11.549,248
Petuelring,München,48.1755,11.5666,249
Himmelschlüsselstraße,München,48.1955,11.5349,250
Lerchenauer See,München,48.1979,11.5356,251
Max-Wönner-Straße,München,48.1994,11.5357,252
Franz-Sperr-Weg,München,48.2039,11.5391,253
Gneisenaustraße,München,48.1786,11.5304,254
Paidarstraße,München,48.2148,11.5449,255
Hasenbergl (Rainfarnstr.),München,48.2136,11.5532,256
Stanigplatz,München,48.2166,11.5532,257
Olympiazentrum,München,48.1787,11.5567,258
Stösserstraße,München,48.2198,11.5571,259
Irisstraße,München,48.1967,11.5457,260
Robinienstraße,München,48.2006,11.5431,261
Goldlackplatz,München,48.2002,11.5502,262
Gundermannstraße,München,48.2042,11.5526,263
Hasenbergl Süd,München,48.2083,11.5525,264
Ittlingerstraße,München,48.2083,11.5557,265
Hasenberglstraße,München,48.2071,11.5603,266
Feldmochinger Anger,München,48.2091,11.5439,267
Olympia-Einkaufszentrum,München,48.182,11.5295,268
Ratkisstraße,München,48.2104,11.5561,269
Pulverturmstraße,München,48.2018,11.5535,270
Gröbenzeller Straße,München,48.1831,11.5079,271
Feldmoching Bahnhof Ost,München,48.2138,11.5432,272
Riesstraße Süd,München,48.1763,11.5363,273
Moosacher St.-Martins-Platz,München,48.1818,11.5173,274
Merseburger Straße,München,48.186,11.5211,275
Claudiusplatz,München,48.182,11.5254,276
Oberwiesenfeld,München,48.1862,11.5457,277
Ludwigsfeld (Campingplatz),München,48.1993,11.4971,278
Am Blütenanger,München,48.2018,11.5064,279
Pappelallee,München,48.2005,11.5127,280
Sonnentaustraße,München,48.1992,11.5185,281
Kuckucksblumenstraße,München,48.1989,11.5224,282
Frauenmantelanger,München,48.2094,11.5682,283
Pulverturm,München,48.1961,11.5649,284
Scheidplatz Süd,München,48.1703,11.5737,285
Olschewskibogen,München,48.2002,11.559,286
Scheidplatz,München,48.1715,11.5727,287
Augustin-Rösch-Straße,München,48.2013,11.5642,288
Röblingweg,München,48.205,11.5728,289
Feuchtwangerstraße,München,48.2078,11.5677,290
Trenkleweg,München,48.21,11.5717,291
Weitlstraße,München,48.2088,11.5632,292
Dientzenhoferstraße,München,48.2034,11.5772,293
Abtstraße,München,48.1842,11.5787,294
Weyprechtstraße,München,48.2047,11.5638,295
Rathenaustraße,München,48.2004,11.5735,296
Bonner Platz,München,48.1669,11.5785,297
Siedlung am Hart,München,48.2012,11.5769,298
Sudetendeutsche Straße,München,48.1962,11.5784,299
Euro-Industriepark West,München,48.1926,11.584,300
Oberhofer Platz,München,48.1876,11.5758,301
Milbertshofener Straße,München,48.1844,11.5754,302
Mildred-Scheel-Bogen,München,48.1753,11.5818,303
Rümannstraße,München,48.1756,11.5728,304
Freimann,München,48.1924,11.6145,305
