ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.708,0.292,0.708,0
3600,0.717,0.5784,1.4216,4.7872
3601,0.7248,0.869,2.131,23.8122
3602,0.7268,1.1606,2.8394,29.3262
3603,0.732,1.456,3.544,52.7262
3604,0.7332,1.7502,4.2498,52.7262
3605,0.7424,2.0476,4.9524,68.2426
3606,0.7426,2.3448,5.6552,68.2426
3607,0.7494,2.6394,6.3606,76.8736
3608,0.7664,2.9348,7.0652,110.1752
3609,0.7684,3.2294,7.7706,112.988
3610,0.7766,3.5228,8.4772,122.088
3611,0.777,3.8158,9.1842,122.088
3612,0.78,4.1144,9.8856,134.5838
3613,0.7842,4.416,10.584,145.2862
3614,0.7908,4.7142,11.2858,148.3134
3615,0.7948,5.0092,11.9908,149.6814
3616,0.8004,5.3058,12.6942,156.2982
3617,0.8028,5.6062,13.3938,169.1682
3618,0.8028,5.9066,14.0934,169.1682
3619,0.8034,6.2064,14.7936,169.1682
3620,0.8048,6.5048,15.4952,169.1682
3621,0.8048,6.8032,16.1968,169.1682
3622,0.805,7.1014,16.8986,169.1682
3623,0.8162,7.4024,17.5976,196.3154
3624,0.8192,7.7048,18.2952,205.3574
3625,0.8212,8.006,18.994,206.215
3626,0.8486,8.2994,19.7006,253.749
3627,0.8706,8.5912,20.4088,284.815
3628,0.8844,8.8802,21.1198,304.023
3629,0.892,9.1702,21.8298,316.5188
3630,0.8938,9.4632,22.5368,325.6872
3631,0.9008,9.7546,23.2454,331.3032
3632,0.9048,10.0448,23.9552,334.9432
3633,0.909,10.3324,24.6676,337.516
3634,0.9156,10.6248,25.3752,358.1044
3635,0.9192,10.9136,26.0864,358.1044
3636,0.9214,11.2002,26.7998,358.1044
3637,0.9358,11.4836,27.5164,374.378
3638,0.9524,11.768,28.232,409.2344
3639,0.9544,12.0504,28.9496,409.2344
3640,0.955,12.3322,29.6678,409.2344
3641,0.958,12.6154,30.3846,416.644
3642,0.9842,12.8984,31.1016,472.915
3643,0.9842,13.1814,31.8186,472.915
3644,0.9876,13.4652,32.5348,478.8678
3645,0.9876,13.749,33.251,478.8678
3646,1.0008,14.0314,33.9686,496.1592
3647,1.0066,14.311,34.689,500.0592
3648,1.0076,14.591,35.409,502.0934
3649,1.016,14.8676,36.1324,509.3584
3650,1.0194,15.1502,36.8498,526.8244
3651,1.0246,15.4342,37.5658,535.4044
3652,1.0298,15.722,38.278,549.3694
3653,1.0316,16.008,38.992,549.3694
3654,1.0514,16.2876,39.7124,574.805
3655,1.0594,16.5688,40.4312,593.525
3656,1.0654,16.851,41.149,606.9036
3657,1.0698,17.1344,41.8656,618.712
3658,1.0818,17.4186,42.5814,636.729
3659,1.0822,17.7032,43.2968,637.8914
3660,1.0842,17.9868,44.0132,639.3444
3661,1.0862,18.2718,44.7282,645.5936
3662,1.0866,18.5564,45.4436,645.5936
3663,1.087,18.8406,46.1594,645.5936
3664,1.0876,19.1242,46.8758,645.5936
3665,1.0968,19.4084,47.5916,659.227
3666,1.105,19.6998,48.3002,681.8326
3667,1.1116,19.9886,49.0114,689.6326
3668,1.1146,20.281,49.719,705.103
3669,1.1146,20.5734,50.4266,705.103
3670,1.1168,20.8692,51.1308,713.4968
3671,1.1242,21.1644,51.8356,722.3368
3672,1.132,21.4612,52.5388,730.8908
3673,1.134,21.756,53.244,730.8908
3674,1.1454,22.049,53.951,745.811
3675,1.1502,22.3394,54.6606,751.531
3676,1.1542,22.6258,55.3742,751.531
3677,1.1624,22.9148,56.0852,767.2234
3678,1.1654,23.2104,56.7896,785.9434
3679,1.1654,23.506,57.494,785.9434
3680,1.168,23.799,58.201,785.9434
3681,1.1782,24.0874,58.9126,796.4882
3682,1.1848,24.3712,59.6288,801.6882
3683,1.1848,24.655,60.345,801.6882
3684,1.1848,24.9388,61.0612,801.6882
3685,1.1848,25.2226,61.7774,801.6882
3686,1.1882,25.51,62.49,814.5542
3687,1.189,25.797,63.203,815.717
3688,1.1916,26.0874,63.9126,824.2702
3689,1.1966,26.3782,64.6218,832.1164
3690,1.2048,26.6724,65.3276,847.1964
3691,1.2066,26.9672,66.0328,851.2524
3692,1.2068,27.2618,66.7382,851.2524
3693,1.2068,27.5564,67.4436,851.2524
3694,1.2158,27.8524,68.1476,867.1402
3695,1.2286,28.1506,68.8494,888.9352
3696,1.2386,28.4404,69.5596,893.2232
3697,1.2402,28.7304,70.2696,895.8386
3698,1.2488,29.0202,70.9798,912.2186
3699,1.2502,29.3086,71.6914,912.2186
3700,1.2622,29.5918,72.4082,924.717
3701,1.2634,29.8738,73.1262,924.717
3702,1.2814,30.1534,73.8466,954.09
3703,1.2904,30.4344,74.5656,973.2052
3704,1.2948,30.711,75.289,973.2052
3705,1.2996,30.9858,76.0142,977.1052
3706,1.301,31.2592,76.7408,977.1052
3707,1.305,31.5334,77.4666,983.3452
3708,1.3082,31.8098,78.1902,992.0518
3709,1.3114,32.088,78.912,998.6818
3710,1.3196,32.367,79.633,1014.9358
3711,1.3298,32.645,80.355,1023.3078
3712,1.3376,32.9216,81.0784,1031.7942
3713,1.3376,33.1982,81.8018,1031.7942
3714,1.3464,33.4814,82.5186,1046.8612
3715,1.3504,33.7606,83.2394,1046.8612
3716,1.3524,34.0414,83.9586,1051.5413
3717,1.3546,34.3224,84.6776,1055.9524
3718,1.3694,34.6036,85.3964,1091.1124
3719,1.3694,34.8848,86.1152,1091.1124
3720,1.3728,35.164,86.836,1093.1466
3721,1.374,35.4444,87.5556,1099.5786
3722,1.3854,35.7202,88.2798,1109.459
3723,1.3854,35.996,89.004,1109.459
3724,1.3898,36.2728,89.7272,1122.5198
3725,1.3946,36.5498,90.4502,1128.748
3726,1.3946,36.8268,91.1732,1128.748
3727,1.3946,37.1038,91.8962,1128.748
3728,1.3968,37.3844,92.6156,1139.1385
3729,1.3976,37.6646,93.3354,1139.8738
3730,1.403,37.9426,94.0574,1145.3458
3731,1.403,38.2206,94.7794,1145.3458
3732,1.4174,38.5002,95.4998,1171.0623
3733,1.4186,38.7798,96.2202,1172.8058
3734,1.4242,39.0568,96.9432,1178.3198
3735,1.4392,39.334,97.666,1198.0798
3736,1.4478,39.611,98.389,1221.247
3737,1.448,39.8878,99.1122,1221.247
3738,1.448,40.1646,99.8354,1221.247
3739,1.4522,40.4458,100.5542,1237.4878
3740,1.4546,40.7386,101.2614,1273.8878
3741,1.4546,41.0314,101.9686,1273.8878
3742,1.4664,41.3274,102.6726,1295.6827
3743,1.468,41.6218,103.3782,1295.6827
3744,1.4684,41.9158,104.0842,1295.6827
3745,1.4696,42.2104,104.7896,1300.3628
3746,1.473,42.5046,105.4954,1305.8768
3747,1.485,42.7924,106.2076,1314.0135
3748,1.4862,43.0858,106.9142,1322.8536
3749,1.4862,43.3792,107.6208,1322.8536
3750,1.4862,43.6726,108.3274,1322.8536
3751,1.491,43.969,109.031,1339.053
3752,1.5022,44.2652,109.7348,1355.036
3753,1.5032,44.5604,110.4396,1355.036
3754,1.5054,44.8636,111.1364,1369.8566
3755,1.5054,45.1668,111.8332,1369.8566
3756,1.511,45.472,112.528,1381.5516
3757,1.5176,45.7782,113.2218,1395.5204
3758,1.5196,46.0904,113.9096,1403.8405
3759,1.5244,46.4014,114.5986,1409.0712
3760,1.54,46.7036,115.2964,1421.6998
3761,1.54,47.0058,115.9942,1421.6998
3762,1.5572,47.3002,116.6998,1437.7281
3763,1.5636,47.5956,117.4044,1451.4163
3764,1.5662,47.8896,118.1104,1454.3582
3765,1.571,48.1836,118.8164,1460.5981
3766,1.579,48.479,119.521,1471.5304
3767,1.5858,48.774,120.226,1486.532
3768,1.5934,49.0748,120.9252,1511.1613
3769,1.6054,49.374,121.626,1526.2725
3770,1.6054,49.6732,122.3268,1526.2725
3771,1.6152,49.9766,123.0234,1547.8114
3772,1.6154,50.2798,123.7202,1547.8114
3773,1.6162,50.5832,124.4168,1548.8834
3774,1.6208,50.8868,125.1132,1553.8754
3775,1.6248,51.1888,125.8112,1558.8074
3776,1.633,51.4826,126.5174,1558.8074
3777,1.633,51.7764,127.2236,1558.8074
3778,1.648,52.0698,127.9302,1585.999
3779,1.6516,52.362,128.638,1589.119
3780,1.6526,52.6548,129.3452,1591.4438
3781,1.6634,52.949,130.051,1610.2484
3782,1.6774,53.2426,130.7574,1640.1608
3783,1.6774,53.5362,131.4638,1640.1608
3784,1.6778,53.8294,132.1706,1640.1608
3785,1.6778,54.1254,132.8746,1644.2292
3786,1.6868,54.4186,133.5814,1656.9702
3787,1.6996,54.7066,134.2934,1672.5883
3788,1.7102,54.9958,135.0042,1695.1187
3789,1.7188,55.2802,135.7198,1700.64
3790,1.7322,55.5648,136.4352,1727.6224
3791,1.7354,55.8482,137.1518,1729.5648
3792,1.7406,56.1384,137.8616,1747.4038
3793,1.7436,56.4292,138.5708,1752.6346
3794,1.7438,56.7198,139.2802,1752.6346
3795,1.7528,57.0114,139.9886,1765.6346
3796,1.757,57.3048,140.6952,1782.1826
3797,1.7582,57.597,141.403,1782.1826
3798,1.762,57.8908,142.1092,1792.7126
3799,1.7624,58.185,142.815,1794.3566
3800,1.764,58.481,143.519,1803.1967
3801,1.768,58.7752,144.2248,1807.7177
3802,1.7876,59.0598,144.9402,1820.1722
3803,1.8038,59.3418,145.6582,1836.776
3804,1.8038,59.6238,146.3762,1836.776
3805,1.8038,59.9058,147.0942,1836.776
3806,1.8208,60.1864,147.8136,1876.7372
3807,1.8208,60.467,148.533,1876.7372
3808,1.8374,60.7538,149.2462,1910.3427
3809,1.8522,61.037,149.963,1926.6162
3810,1.8666,61.3208,150.6792,1948.4113
3811,1.8696,61.6038,151.3962,1951.2712
3812,1.8714,61.8904,152.1096,1961.6458
3813,1.8714,62.177,152.823,1961.6458
3814,1.8906,62.4676,153.5324,2004.7296
3815,1.8984,62.7586,154.2414,2012.1917
3816,1.8984,63.0496,154.9504,2012.1917
3817,1.9038,63.344,155.656,2024.978
3818,1.9138,63.639,156.361,2044.342
3819,1.919,63.9372,157.0628,2056.333
3820,1.9254,64.2312,157.7688,2060.3767
3821,1.9256,64.525,158.475,2060.3767
3822,1.9374,64.8258,159.1742,2099.0315
3823,1.9416,65.1266,159.8734,2106.7512
3824,1.9454,65.424,160.576,2107.2712
3825,1.9484,65.7204,161.2796,2110.4873
3826,1.962,66.0116,161.9884,2130.3652
3827,1.9628,66.302,162.698,2130.3652
3828,1.9646,66.5906,163.4094,2130.3652
3829,1.9646,66.8792,164.1208,2130.3652
3830,1.9668,67.1666,164.8334,2131.818
3831,1.97,67.4548,165.5452,2139.6182
3832,1.973,67.746,166.254,2147.4182
3833,1.9764,68.0408,166.9592,2158.171
3834,1.9914,68.3266,167.6734,2167.443
3835,1.9922,68.6116,168.3884,2167.443
3836,1.9962,68.8956,169.1044,2171.3433
3837,2.0076,69.1798,169.8202,2194.8533
3838,2.0076,69.464,170.536,2194.8533
3839,2.0108,69.7488,171.2512,2202.662
3840,2.0132,70.0318,171.9682,2204.2222
3841,2.0146,70.315,172.685,2207.163
3842,2.0274,70.6006,173.3994,2236.5906
3843,2.0286,70.885,174.115,2236.5906
3844,2.0302,71.1678,174.8322,2236.5906
3845,2.0308,71.4514,175.5486,2238.6248
3846,2.0308,71.735,176.265,2238.6248
3847,2.0308,72.0186,176.9814,2238.6248
3848,2.037,72.3004,177.6996,2244.3447
3849,2.0428,72.5812,178.4188,2251.2087
3850,2.045,72.8598,179.1402,2251.2087
3851,2.0462,73.1372,179.8628,2251.2087
3852,2.0566,73.4144,180.5856,2271.4456
3853,2.0566,73.6922,181.3078,2273.912
3854,2.071,73.968,182.032,2290.2607
3855,2.0744,74.2424,182.7576,2292.8608
3856,2.0836,74.5226,183.4774,2306.6458
3857,2.0918,74.807,184.193,2324.663
3858,2.0918,75.0914,184.9086,2324.663
3859,2.095,75.377,185.623,2332.7502
3860,2.095,75.6626,186.3374,2332.7502
3861,2.095,75.9482,187.0518,2332.7502
3862,2.1016,76.2374,187.7626,2356.659
3863,2.1016,76.5266,188.4734,2356.659
3864,2.1016,76.8158,189.1842,2356.659
3865,2.1106,77.1004,189.8996,2362.4934
3866,2.114,77.3888,190.6112,2375.727
3867,2.1254,77.6772,191.3228,2392.2913
3868,2.1352,77.964,192.036,2405.1033
3869,2.1368,78.2516,192.7484,2408.5903
