ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.6772,0.3228,0.6772,0
3600,0.6906,0.6322,1.3678,0
3601,0.6926,0.9408,2.0592,2.466
3602,0.6968,1.2518,2.7482,15.336
3603,0.6968,1.5628,3.4372,15.336
3604,0.6984,1.8722,4.1278,15.336
3605,0.7102,2.1792,4.8208,32.3124
3606,0.7106,2.4858,5.5142,32.3124
3607,0.7182,2.7848,6.2152,32.3124
3608,0.7256,3.0864,6.9136,50.6924
3609,0.7256,3.388,7.612,50.6924
3610,0.7374,3.6872,8.3128,67.9696
3611,0.7532,3.9978,9.0022,105.2574
3612,0.755,4.3066,9.6934,105.2574
3613,0.7654,4.6156,10.3844,114.9034
3614,0.7726,4.9174,11.0826,114.9034
3615,0.7786,5.2162,11.7838,119.2624
3616,0.7894,5.5124,12.4876,135.2524
3617,0.7894,5.8086,13.1914,135.2524
3618,0.8128,6.099,13.901,172.9388
3619,0.8188,6.3916,14.6084,188.0104
3620,0.85,6.6744,15.3256,236.818
3621,0.85,6.9572,16.0428,236.818
3622,0.852,7.2402,16.7598,240.3226
3623,0.8568,7.5234,17.4766,249.5126
3624,0.8568,7.8066,18.1934,249.5126
3625,0.8568,8.0898,18.9102,249.5126
3626,0.8568,8.373,19.627,249.5126
3627,0.8588,8.6566,20.3434,255.1382
3628,0.8588,8.9402,21.0598,255.1382
3629,0.8668,9.2228,21.7772,269.5232
3630,0.8784,9.5028,22.4972,281.2232
3631,0.8828,9.7818,23.2182,288.2102
3632,0.885,10.0646,23.9354,298.4702
3633,0.8888,10.3486,24.6514,305.7352
3634,0.889,10.6324,25.3676,305.7352
3635,0.8892,10.916,26.084,305.7352
3636,0.8892,11.1996,26.8004,305.7352
3637,0.9256,11.4804,27.5196,363.2752
3638,0.9274,11.7594,28.2406,363.2752
3639,0.95,12.0468,28.9532,421.3544
3640,0.9518,12.3346,29.6654,424.551
3641,0.9524,12.6218,30.3782,424.551
3642,0.9576,12.9038,31.0962,424.551
3643,0.958,13.1854,31.8146,424.551
3644,0.958,13.469,32.531,429.911
3645,0.9592,13.7518,33.2482,431.5554
3646,0.9592,14.0346,33.9654,431.5554
3647,0.9874,14.3372,34.6628,517.0342
3648,1.0086,14.6448,35.3552,556.215
3649,1.0104,14.9506,36.0494,556.215
3650,1.0174,15.256,36.744,563.079
3651,1.0194,15.5612,37.4388,565.6944
3652,1.0296,15.8622,38.1378,574.4124
3653,1.0408,16.1652,38.8348,591.5724
3654,1.0484,16.4672,39.5328,603.7032
3655,1.054,16.77,40.23,615.4664
3656,1.054,17.0746,40.9254,618.0818
3657,1.0556,17.3776,41.6224,618.0818
3658,1.0566,17.6796,42.3204,618.0818
3659,1.0578,17.9804,43.0196,618.0818
3660,1.0578,18.2812,43.7188,618.0818
3661,1.0688,18.5838,44.4162,636.6802
3662,1.0866,18.8894,45.1106,681.7318
3663,1.0872,19.1944,45.8056,681.7318
3664,1.0888,19.4994,46.5006,684.3046
3665,1.0888,19.8044,47.1956,684.3046
3666,1.0888,20.1094,47.8906,684.3046
3667,1.0964,20.4204,48.5796,704.0654
3668,1.0978,20.73,49.27,704.0654
3669,1.0978,21.0396,49.9604,704.0654
3670,1.1164,21.3446,50.6554,716.935
3671,1.1202,21.6458,51.3542,716.935
3672,1.1202,21.947,52.053,716.935
3673,1.123,22.2506,52.7494,725.827
3674,1.1256,22.5546,53.4454,730.186
3675,1.1376,22.862,54.138,764.742
3676,1.138,23.169,54.831,764.742
3677,1.1402,23.4762,55.5238,769.1532
3678,1.1402,23.7834,56.2166,769.1532
3679,1.1402,24.0906,56.9094,769.1532
3680,1.1404,24.4008,57.5992,777.4732
3681,1.1408,24.7132,58.2868,780.2604
3682,1.1506,25.0174,58.9826,784.5484
3683,1.1508,25.3214,59.6786,784.5484
3684,1.1512,25.625,60.375,784.5484
3685,1.1546,25.9274,61.0726,788.592
3686,1.1582,26.2304,61.7696,794.052
3687,1.1654,26.536,62.464,821.0804
3688,1.1654,26.8416,63.1584,821.0804
3689,1.1654,27.1472,63.8528,821.0804
3690,1.1654,27.4528,64.5472,821.0804
3691,1.1776,27.7594,65.2406,837.1978
3692,1.1776,28.066,65.934,837.1978
3693,1.181,28.3828,66.6172,864.3678
3694,1.1902,28.7058,67.2942,889.9248
3695,1.2024,29.0334,67.9666,920.394
3696,1.2024,29.361,68.639,920.394
3697,1.2064,29.6886,69.3114,927.8328
3698,1.2064,30.0162,69.9838,927.8328
3699,1.2168,30.3486,70.6514,945.4088
3700,1.2168,30.681,71.319,945.4088
3701,1.2168,31.0134,71.9866,945.4088
3702,1.2206,31.3464,72.6536,956.8488
3703,1.2206,31.6794,73.3206,956.8488
3704,1.2206,32.0124,73.9876,956.8488
3705,1.225,32.3458,74.6542,966.7128
3706,1.225,32.6792,75.3208,966.7128
3707,1.2328,33.0126,75.9874,978.0462
3708,1.2554,33.352,76.648,1005.8536
3709,1.2618,33.6936,77.3064,1022.3548
3710,1.2732,34.026,77.974,1026.3984
3711,1.2758,34.357,78.643,1028.142
3712,1.2798,34.6954,79.3046,1049.0952
3713,1.2872,35.039,79.961,1065.4752
3714,1.2926,35.3796,80.6204,1068.9624
3715,1.2992,35.7178,81.2822,1074.4224
3716,1.2994,36.0558,81.9442,1074.4224
3717,1.3026,36.3908,82.6092,1075.2446
3718,1.3118,36.7186,83.2814,1078.1506
3719,1.3118,37.0464,83.9536,1078.1506
3720,1.3118,37.3742,84.6258,1078.1506
3721,1.3118,37.702,85.298,1078.1506
3722,1.3118,38.0298,85.9702,1078.1506
3723,1.3192,38.3578,86.6422,1092.1194
3724,1.3208,38.6842,87.3158,1092.1194
3725,1.3422,39.0042,87.9958,1121.052
3726,1.348,39.325,88.675,1130.6418
3727,1.3656,39.6522,89.3478,1181.4102
3728,1.3772,39.979,90.021,1198.5526
3729,1.3824,40.3006,90.6994,1198.5526
3730,1.398,40.619,91.381,1213.0946
3731,1.398,40.9374,92.0626,1213.0946
3732,1.3984,41.2554,92.7446,1213.0946
3733,1.4166,41.5782,93.4218,1241.8438
3734,1.4222,41.9,94.1,1247.8239
3735,1.4222,42.2218,94.7782,1247.8239
3736,1.4448,42.5508,95.4492,1317.355
3737,1.4504,42.883,96.117,1328.9174
3738,1.4618,43.2172,96.7828,1360.327
3739,1.4618,43.5514,97.4486,1360.327
3740,1.4618,43.8856,98.1144,1360.327
