ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.2776472,0.22352941,0.052941177,0.7235294,0
3600,0.28047076,0.44705883,0.105882354,1.4470588,16.194118
3601,0.28023544,0.68235296,0.15294118,2.164706,47.64118
3602,0.27819625,0.9235294,0.2,2.8764706,58.45294
3603,0.27905896,1.1529412,0.24705882,3.6,73.747055
3604,0.27678448,1.382353,0.29411766,4.3235292,90.84706
3605,0.27749035,1.6235294,0.33529413,5.0411763,114.09412
3606,0.275608,1.8647059,0.38235295,5.752941,114.09412
3607,0.27662763,2.1117647,0.42941177,6.4588237,126.18235
3608,0.27874526,2.3647058,0.4764706,7.1588235,157.62941
3609,0.2768629,2.6176472,0.5235294,7.8588233,171.41765
3610,0.27796096,2.8764706,0.5764706,8.547059,179.06471
3611,0.27725506,3.1235294,0.62941176,9.247059,179.06471
3612,0.27725506,3.3705883,0.68235296,9.947059,187.61177
3613,0.27529427,3.6294117,0.7352941,10.635294,208.24706
3614,0.27584326,3.8941176,0.7882353,11.317647,213.81177
3615,0.27678445,4.1647058,0.84117645,11.994118,223.87059
3616,0.27654916,4.429412,0.89411765,12.676471,229.27647
3617,0.27584326,4.7058825,0.9470588,13.347059,256.04117
3618,0.27435306,4.964706,1,14.035295,256.04117
3619,0.27458835,5.211765,1.0588236,14.729412,256.04117
3620,0.27513736,5.4588237,1.117647,15.42353,256.04117
3621,0.27513736,5.6941175,1.1764706,16.129412,256.04117
3622,0.2752158,5.9235296,1.2352941,16.841177,256.04117
3623,0.27560797,6.1588235,1.2941177,17.547058,276.6706
3624,0.27427462,6.4,1.3529412,18.247059,288.75882
3625,0.2741962,6.6411767,1.4117647,18.94706,295.0647
3626,0.27929422,6.9,1.4705882,19.629412,335.88824
3627,0.280706,7.1647058,1.5235294,20.311764,364.1706
3628,0.28015697,7.4470587,1.5764706,20.97647,394.71765
3629,0.2792158,7.7352943,1.6294118,21.635294,403.2647
3630,0.2785099,8.035295,1.6764706,22.288235,437.5059
3631,0.27811772,8.341176,1.7235295,22.935293,443.62354
3632,0.27921575,8.6470585,1.7705883,23.582354,451.2706
3633,0.27945107,8.952941,1.8176471,24.229412,460.7294
3634,0.2807844,9.252941,1.8588235,24.888235,471.35294
3635,0.27890205,9.547059,1.9,25.55294,471.35294
3636,0.2797648,9.841176,1.9411764,26.217648,471.35294
3637,0.28352952,10.141176,1.982353,26.87647,488.44705
3638,0.28258833,10.458823,2.0235295,27.517647,519.82355
3639,0.28141186,10.770588,2.0647058,28.164705,519.82355
3640,0.28164715,11.064706,2.1058824,28.829412,519.82355
3641,0.2827452,11.376471,2.1470587,29.47647,547.4588
3642,0.2850197,11.7,2.1882353,30.111765,597.74115
3643,0.28117657,12.005882,2.2294118,30.764706,597.74115
3644,0.28172562,12.317647,2.2705882,31.411764,614.84705
3645,0.28086287,12.623529,2.3117647,32.064705,614.84705
3646,0.2827452,12.935294,2.3529413,32.711765,633.7765
3647,0.28266674,13.235294,2.3941176,33.370586,641.4235
3648,0.28290203,13.541177,2.4352942,34.02353,649.9706
3649,0.28462753,13.847059,2.4764705,34.67647,658.51764
3650,0.28407854,14.1470585,2.517647,35.335293,680.61176
3651,0.28133342,14.447059,2.5588236,35.994118,688.25885
3652,0.281804,14.752941,2.6,36.64706,707.99414
3653,0.28000006,15.058824,2.6411765,37.3,707.99414
3654,0.2836079,15.370588,2.682353,37.94706,730.2765
3655,0.28290203,15.676471,2.7235293,38.6,741.7471
3656,0.28235304,15.988235,2.7764707,39.235294,764.08234
3657,0.2815687,16.305882,2.8294117,39.864704,790.6588
3658,0.28211772,16.635294,2.8823528,40.482353,814.5
3659,0.2807844,16.958824,2.9352942,41.10588,823.04706
3660,0.28117657,17.288235,2.9882352,41.72353,831.5941
3661,0.28094128,17.62353,3.035294,42.341175,842.4059
3662,0.2805491,17.958824,3.0882354,42.95294,842.4059
3663,0.280706,18.294117,3.1411765,43.564705,842.4059
3664,0.28094128,18.629412,3.1941175,44.17647,842.4059
3665,0.28164715,18.970589,3.2411764,44.788235,870.0941
3666,0.28109813,19.32353,3.2882352,45.388237,902.48236
3667,0.2796864,19.67647,3.335294,45.988235,913.95294
3668,0.2795295,20.017647,3.3882353,46.594116,927.74115
3669,0.2774903,20.341177,3.4411764,47.217648,927.74115
3670,0.27803934,20.658823,3.4941177,47.847057,946.34705
3671,0.27788246,20.97647,3.552941,48.47059,953.99414
3672,0.27686286,21.288235,3.6117647,49.1,959.34705
3673,0.2765491,21.594118,3.6705883,49.735294,959.34705
3674,0.27945107,21.911764,3.7294118,50.35882,986.35297
3675,0.27913734,22.229412,3.7882352,50.982353,1001.64703
3676,0.27984324,22.541176,3.8470588,51.611763,1001.64703
3677,0.28094128,22.858824,3.9058824,52.235294,1010.1941
3678,0.2788236,23.182352,3.964706,52.85294,1021.66473
3679,0.2762354,23.494118,4.0235295,53.482353,1021.66473
3680,0.277255,23.788235,4.082353,54.129414,1021.66473
3681,0.28101972,24.094118,4.1411767,54.764706,1042.3
3682,0.28101972,24.405882,4.2,55.39412,1057.5941
3683,0.28086287,24.7,4.2588234,56.041176,1057.5941
3684,0.28086287,24.970589,4.317647,56.711765,1057.5941
3685,0.28086287,25.241177,4.382353,57.376472,1057.5941
3686,0.28133342,25.505882,4.4470587,58.04706,1068.4059
3687,0.2797648,25.77647,4.5117645,58.711765,1085.5059
3688,0.2796864,26.047058,4.5764704,59.376472,1103.9647
3689,0.2787452,26.317648,4.6411767,60.041176,1112.5117
3690,0.2795295,26.588236,4.7058825,60.705883,1120.1588
3691,0.27701974,26.864706,4.7705884,61.364704,1141.5706
3692,0.27662757,27.129412,4.8352942,62.035294,1141.5706
3693,0.27662757,27.388235,4.9,62.711765,1141.5706
3694,0.27803934,27.647058,4.9588237,63.39412,1160.7412
3695,0.27615696,27.911764,5.0176473,64.07059,1169.2882
3696,0.27905893,28.170588,5.0764704,64.752945,1185.053
3697,0.27905896,28.42941,5.1294117,65.44118,1193.6
3698,0.27905896,28.688236,5.1764708,66.13529,1216.5411
3699,0.27905896,28.935293,5.2235293,66.84118,1216.5411
3700,0.2829021,29.17647,5.2705884,67.55294,1238.1647
3701,0.28156877,29.411764,5.317647,68.27059,1238.1647
3702,0.284157,29.65294,5.364706,68.98235,1261.4412
3703,0.28313738,29.894117,5.417647,69.68823,1272.2529
3704,0.2836864,30.135294,5.470588,70.39412,1272.2529
3705,0.28556874,30.382353,5.5235295,71.09412,1279.9
3706,0.28494132,30.629412,5.5764704,71.79412,1279.9
3707,0.28509817,30.864706,5.6294117,72.50588,1287.5471
3708,0.2846276,31.094118,5.682353,73.223526,1319.3765
3709,0.28384325,31.32353,5.7294116,73.94706,1327.1765
3710,0.2836864,31.55294,5.7764707,74.670586,1337.8
3711,0.28376484,31.788235,5.8235292,75.38824,1343.153
3712,0.28431386,32.017647,5.8705883,76.11176,1350.9529
3713,0.2836864,32.241177,5.917647,76.84118,1350.9529
3714,0.28549033,32.47059,5.964706,77.564705,1364.0059
3715,0.2826668,32.7,6.0117645,78.28824,1364.0059
3716,0.28345114,32.91765,6.070588,79.011765,1371.653
3717,0.28258836,33.135296,6.1294117,79.73529,1382.4647
3718,0.2833727,33.364704,6.1882353,80.44706,1410.0411
3719,0.28188246,33.588234,6.247059,81.1647,1410.0411
