ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.26674524,0.25833333,0.008333334,0.73333335,22.333334
3600,0.27146217,0.5083333,0.016666668,1.475,22.333334
3601,0.27224833,0.76666665,0.025,2.2083333,39.458332
3602,0.27177665,1.0166667,0.033333335,2.95,55.708332
3603,0.27083322,1.2666667,0.041666668,3.6916666,55.708332
3604,0.27146217,1.5083333,0.05,4.4416666,55.708332
3605,0.2732704,1.7416667,0.058333334,5.2,70.75833
3606,0.27256283,1.9583334,0.06666667,5.975,70.75833
3607,0.27555025,2.175,0.075,6.75,70.75833
3608,0.27617916,2.4,0.083333336,7.516667,86.075
3609,0.2745282,2.6166666,0.09166667,8.291667,86.075
3610,0.27610055,2.8416667,0.1,9.058333,101.39167
3611,0.27547163,3.0916667,0.108333334,9.8,135.16667
3612,0.27169803,3.325,0.125,10.55,135.16667
3613,0.27303454,3.5666666,0.14166667,11.291667,142.75
3614,0.27444965,3.8,0.15833333,12.041667,142.75
3615,0.2768081,4.0416665,0.175,12.783334,154.85834
3616,0.27680808,4.2916665,0.18333334,13.525,171.10834
3617,0.27665085,4.5333333,0.19166666,14.275,171.10834
3618,0.28301877,4.8,0.2,15,245.475
3619,0.27971688,5.075,0.20833333,15.716666,260.79166
3620,0.28419802,5.358333,0.21666667,16.425,321.425
3621,0.28191814,5.633333,0.225,17.141666,321.425
3622,0.28223264,5.9083333,0.23333333,17.858334,348.85
3623,0.28191814,6.1916666,0.24166666,18.566668,364.16666
3624,0.2817609,6.475,0.25,19.275,364.16666
3625,0.2817609,6.758333,0.25833333,19.983334,364.16666
3626,0.2817609,7.0416665,0.26666668,20.691668,364.16666
3627,0.28199676,7.3333335,0.275,21.391666,383.7
3628,0.2816037,7.625,0.28333333,22.091667,383.7
3629,0.283176,7.9166665,0.29166666,22.791666,400.825
3630,0.28364772,8.216666,0.3,23.483334,422.49167
3631,0.2845125,8.516666,0.30833334,24.175,439.61667
3632,0.28341186,8.8,0.30833334,24.891666,453.86667
3633,0.28325462,9.091666,0.30833334,25.6,465.975
3634,0.28152505,9.375,0.31666666,26.308332,465.975
3635,0.28160366,9.658334,0.325,27.016666,465.975
3636,0.28160366,9.933333,0.33333334,27.733334,465.975
3637,0.28561312,10.241667,0.34166667,28.416666,537.95
3638,0.28341186,10.541667,0.35,29.108334,537.95
3639,0.28584898,10.875,0.35833332,29.766666,591.19165
3640,0.28026724,11.208333,0.36666667,30.425,603.3
3641,0.28018862,11.533334,0.375,31.091667,603.3
3642,0.28223264,11.858334,0.38333333,31.758333,603.3
3643,0.28238985,12.175,0.39166668,32.433334,603.3
3644,0.28238985,12.491667,0.4,33.108334,625.63336
3645,0.28207538,12.816667,0.40833333,33.775,659.89166
3646,0.28191814,13.141666,0.41666666,34.441666,659.89166
3647,0.28333327,13.483334,0.425,35.091667,702.5833
3648,0.2772012,13.858334,0.43333334,35.708332,754.75836
3649,0.2728773,14.233334,0.44166666,36.325,754.75836
3650,0.2732704,14.608334,0.45,36.941666,763.425
3651,0.27366346,14.991667,0.45833334,37.55,775.5333
3652,0.27665085,15.375,0.46666667,38.158333,787.64166
