ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.6782,0.3218,0.6782,0
3600,0.68,0.6418,1.3582,0
3601,0.6942,0.9488,2.0512,2.466
3602,0.7012,1.2518,2.7482,8.316
3603,0.7036,1.5584,3.4416,23.916
3604,0.7036,1.865,4.135,23.916
3605,0.7084,2.1742,4.8258,33.536
3606,0.7104,2.4842,5.5158,38.6824
3607,0.7158,2.7982,6.2018,55.9596
3608,0.725,3.1138,6.8862,81.2748
3609,0.725,3.4294,7.5706,81.2748
3610,0.7254,3.7446,8.2554,81.2748
3611,0.7254,4.0606,8.9394,82.3148
3612,0.7276,4.3744,9.6256,82.3148
3613,0.7278,4.688,10.312,82.3148
3614,0.7298,4.9996,11.0004,82.3148
3615,0.7378,5.3116,11.6884,96.214
3616,0.7606,5.6294,12.3706,135.179
3617,0.7658,5.942,13.058,135.179
3618,0.7712,6.2568,13.7432,145.059
3619,0.772,6.5708,14.4292,145.059
3620,0.772,6.8848,15.1152,145.059
3621,0.775,7.1992,15.8008,151.3082
3622,0.775,7.5136,16.4864,151.3082
3623,0.775,7.828,17.172,151.3082
3624,0.775,8.1424,17.8576,151.3082
3625,0.779,8.455,18.545,154.5048
3626,0.7906,8.762,19.238,163.2228
3627,0.7916,9.068,19.932,163.2228
3628,0.8094,9.3724,20.6276,192.48
3629,0.8208,9.6694,21.3306,197.68
3630,0.8214,9.9666,22.0334,200.0056
3631,0.8214,10.2638,22.7362,200.0056
3632,0.8214,10.561,23.439,200.0056
3633,0.8244,10.8552,24.1448,200.0056
3634,0.8328,11.1458,24.8542,208.6744
3635,0.8336,11.4356,25.5644,208.6744
3636,0.8448,11.7224,26.2776,222.6964
3637,0.8612,12.0198,26.9802,261.9274
3638,0.8642,12.3198,27.6802,273.4354
3639,0.8692,12.6184,28.3816,278.1154
3640,0.8882,12.9088,29.0912,298.4704
3641,0.8918,13.2068,29.7932,327.5904
3642,0.8918,13.5048,30.4952,327.5904
3643,0.8932,13.8014,31.1986,327.5904
3644,0.8934,14.0978,31.9022,327.5904
3645,0.8934,14.3942,32.6058,327.5904
3646,0.8934,14.6906,33.3094,327.5904
3647,0.8934,14.987,34.013,327.5904
3648,0.898,15.283,34.717,333.4768
3649,0.898,15.579,35.421,333.4768
3650,0.898,15.875,36.125,333.4768
3651,0.9058,16.1654,36.8346,335.7648
3652,0.9058,16.4558,37.5442,335.7648
3653,0.9122,16.7462,38.2538,344.1766
3654,0.9254,17.0342,38.9658,365.6038
3655,0.9276,17.32,39.68,365.6038
3656,0.9278,17.6056,40.3944,365.6038
3657,0.9318,17.8908,41.1092,372.2206
3658,0.9358,18.1776,41.8224,379.5006
3659,0.9402,18.4702,42.5298,391.9258
3660,0.9402,18.7628,43.2372,391.9258
3661,0.9486,19.0554,43.9446,409.1878
3662,0.9486,19.348,44.652,409.1878
3663,0.9808,19.6496,45.3504,470.7772
3664,0.99,19.942,46.058,470.7772
3665,1.0136,20.242,46.758,514.6726
3666,1.0214,20.5342,47.4658,514.6726
3667,1.0302,20.8274,48.1726,534.8116
3668,1.0302,21.1206,48.8794,534.8116
3669,1.0368,21.4096,49.5904,540.4372
3670,1.0406,21.6948,50.3052,540.4372
3671,1.0566,21.9812,51.0188,558.502
3672,1.063,22.2696,51.7304,566.146
3673,1.074,22.5598,52.4402,589.6724
3674,1.074,22.85,53.15,589.6724
3675,1.074,23.1402,53.8598,589.6724
3676,1.074,23.4304,54.5696,589.6724
3677,1.074,23.7206,55.2794,589.6724
3678,1.0742,24.0106,55.9894,589.6724
3679,1.0762,24.3008,56.6992,592.869
3680,1.0882,24.5888,57.4112,610.8814
3681,1.1018,24.8952,58.1048,680.2538
3682,1.1018,25.2016,58.7984,680.2538
3683,1.1018,25.508,59.492,680.2538
3684,1.1068,25.8192,60.1808,698.2662
3685,1.1068,26.1304,60.8696,698.2662
3686,1.1068,26.4416,61.5584,698.2662
3687,1.123,26.756,62.244,720.8284
3688,1.1246,27.0716,62.9284,725.8852
3689,1.1246,27.3872,63.6128,725.8852
3690,1.1264,27.7078,64.2922,735.7656
3691,1.13,28.0248,64.9752,735.7656
3692,1.13,28.3418,65.6582,735.7656
3693,1.135,28.6582,66.3418,742.1588
3694,1.1484,28.9908,67.0092,789.243
3695,1.1656,29.3328,67.6672,837.5666
3696,1.169,29.6772,68.3228,845.994
3697,1.169,30.0216,68.9784,845.994
3698,1.1712,30.3678,69.6322,849.778
3699,1.1856,30.7064,70.2936,858.618
3700,1.1904,31.047,70.953,867.6348
3701,1.1904,31.3876,71.6124,867.6348
3702,1.1956,31.7268,72.2732,877.5148
3703,1.2048,32.0568,72.9432,877.5148
3704,1.2052,32.3864,73.6136,877.5148
3705,1.2052,32.716,74.284,877.5148
3706,1.2052,33.0456,74.9544,877.5148
3707,1.2052,33.3752,75.6248,877.5148
3708,1.2248,33.705,76.295,917.4864
3709,1.2366,34.0336,76.9664,939.3568
3710,1.2366,34.3622,77.6378,939.3568
3711,1.2402,34.6878,78.3122,941.8234
3712,1.2402,35.0134,78.9866,941.8234
3713,1.2412,35.3394,79.6606,943.8576
3714,1.2642,35.6688,80.3312,983.1934
3715,1.2678,35.9998,81.0002,989.9534
3716,1.2696,36.329,81.671,989.9534
3717,1.281,36.6576,82.3424,1002.5138
3718,1.281,36.9862,83.0138,1002.5138
3719,1.281,37.3148,83.6852,1002.5138
3720,1.2834,37.6434,84.3566,1006.001
3721,1.2974,37.9634,85.0366,1015.9262
3722,1.2984,38.2824,85.7176,1015.9262
3723,1.2984,38.6014,86.3986,1015.9262
3724,1.2984,38.9204,87.0796,1015.9262
3725,1.3092,39.2286,87.7714,1015.9262
3726,1.3232,39.5362,88.4638,1047.3358
3727,1.3268,39.8402,89.1598,1047.3358
3728,1.3274,40.1436,89.8564,1047.3358
3729,1.3314,40.4486,90.5514,1055.4727
3730,1.3436,40.757,91.243,1080.7882
3731,1.3618,41.0694,91.9306,1108.5922
3732,1.3618,41.3818,92.6182,1108.5922
3733,1.3672,41.6956,93.3044,1120.8602
3734,1.3716,42.0068,93.9932,1124.5592
3735,1.3756,42.317,94.683,1128.4592
3736,1.387,42.6218,95.3782,1136.4122
3737,1.387,42.9266,96.0734,1136.4122
3738,1.3948,43.2264,96.7736,1141.8722
3739,1.407,43.5278,97.4722,1174.2194
3740,1.4088,43.8294,98.1706,1177.8954
3741,1.4166,44.1326,98.8674,1197.1967
3742,1.4178,44.4346,99.5654,1197.1967
3743,1.4234,44.7356,100.2644,1209.1566
3744,1.4238,45.0362,100.9638,1209.1566
3745,1.4238,45.3368,101.6632,1209.1566
3746,1.4238,45.6374,102.3626,1209.1566
3747,1.4266,45.936,103.064,1211.841
3748,1.4398,46.2312,103.7688,1226.393
3749,1.4602,46.524,104.476,1254.722
3750,1.4674,46.8138,105.1862,1260.2913
3751,1.4676,47.1034,105.8966,1260.2913
3752,1.4676,47.393,106.607,1260.2913
3753,1.4676,47.6826,107.3174,1260.2913
3754,1.4676,47.9722,108.0278,1260.2913
3755,1.4676,48.2618,108.7382,1260.2913
3756,1.4698,48.5514,109.4486,1263.1512
3757,1.4814,48.8366,110.1634,1277.9471
3758,1.4898,49.1198,110.8802,1284.6031
3759,1.49,49.4028,111.5972,1284.6031
3760,1.5142,49.6862,112.3138,1331.1844
3761,1.5182,49.9734,113.0266,1351.4644
3762,1.5184,50.2604,113.7396,1351.4644
3763,1.52,50.5468,114.4532,1353.5194
3764,1.52,50.8332,115.1668,1353.5194
3765,1.52,51.1196,115.8804,1353.5194
3766,1.5318,51.4086,116.5914,1393.2346
3767,1.5322,51.6996,117.3004,1400.2114
3768,1.5402,52.0044,117.9956,1428.5514
3769,1.5402,52.3092,118.6908,1428.5514
3770,1.5594,52.6184,119.3816,1475.5598
3771,1.565,52.926,120.074,1482.9117
3772,1.569,53.232,120.768,1487.5918
3773,1.5696,53.5374,121.4626,1487.5918
3774,1.5696,53.8428,122.1572,1487.5918
3775,1.5788,54.1542,122.8458,1504.7778
3776,1.5788,54.4656,123.5344,1504.7778
3777,1.583,54.7788,124.2212,1516.4778
3778,1.585,55.09,124.91,1516.4778
3779,1.585,55.4012,125.5988,1516.4778
3780,1.603,55.7192,126.2808,1555.2115
3781,1.6038,56.0364,126.9636,1555.2115
3782,1.6038,56.3536,127.6464,1555.2115
3783,1.6038,56.6708,128.3292,1555.2115
3784,1.6052,56.9886,129.0114,1559.3217
3785,1.6052,57.3064,129.6936,1559.3217
3786,1.6072,57.6246,130.3754,1565.7535
3787,1.6186,57.9476,131.0524,1595.1196
3788,1.638,58.2646,131.7354,1632.0768
3789,1.6648,58.576,132.424,1658.7656
3790,1.6648,58.8874,133.1126,1658.7656
3791,1.675,59.2012,133.7988,1679.4496
3792,1.6814,59.5192,134.4808,1693.2296
3793,1.6814,59.8372,135.1628,1693.2296
3794,1.682,60.1546,135.8454,1693.2296
3795,1.6932,60.4728,136.5272,1710.6656
3796,1.7056,60.7964,137.2036,1730.2554
3797,1.7074,61.1196,137.8804,1733.537
3798,1.7086,61.4416,138.5584,1733.537
3799,1.7162,61.7662,139.2338,1750.7642
3800,1.7162,62.0908,139.9092,1750.7642
3801,1.72,62.4184,140.5816,1759.6042
3802,1.72,62.746,141.254,1759.6042
3803,1.7204,63.0732,141.9268,1759.6042
3804,1.7212,63.3996,142.6004,1759.6042
3805,1.7234,63.726,143.274,1763.6478
3806,1.7256,64.0522,143.9478,1767.0677
3807,1.7318,64.3832,144.6168,1787.2858
3808,1.7318,64.7142,145.2858,1787.2858
3809,1.7354,65.046,145.954,1793.679
3810,1.7354,65.3778,146.6222,1793.679
3811,1.7418,65.7076,147.2924,1798.0934
3812,1.744,66.0356,147.9644,1799.1334
3813,1.748,66.3712,148.6288,1829.2935
3814,1.753,66.7084,149.2916,1846.4534
3815,1.7586,67.0458,149.9542,1857.1138
3816,1.7614,67.3866,150.6134,1868.7838
3817,1.7614,67.7274,151.2726,1868.7838
3818,1.7614,68.0682,151.9318,1868.7838
3819,1.762,68.411,152.589,1874.1268
3820,1.764,68.7518,153.2482,1874.1268
3821,1.7726,69.0934,153.9066,1896.4164
3822,1.7854,69.432,154.568,1906.6084
3823,1.8004,69.7774,155.2226,1957.7076
3824,1.815,70.1182,155.8818,1972.2375
3825,1.8168,70.4602,156.5398,1977.0616
3826,1.8254,70.8024,157.1976,1994.2216
3827,1.8334,71.1478,157.8522,2009.42
3828,1.8398,71.4964,158.5036,2021.9
3829,1.8532,71.853,159.147,2052.9941
3830,1.8652,72.1976,159.8024,2052.9941
3831,1.8684,72.539,160.461,2052.9941
3832,1.8786,72.882,161.118,2069.6343
3833,1.8786,73.225,161.775,2069.6343
3834,1.8786,73.568,162.432,2069.6343
3835,1.8802,73.9118,163.0882,2073.1213
3836,1.9076,74.2436,163.7564,2097.7837
3837,1.9092,74.5738,164.4262,2097.7837
3838,1.9092,74.904,165.096,2097.7837
3839,1.9198,75.2328,165.7672,2116.3538
3840,1.9198,75.5616,166.4384,2116.3538
3841,1.9198,75.8904,167.1096,2116.3538
3842,1.9256,76.2282,167.7718,2145.2139
3843,1.9266,76.565,168.435,2145.2139
3844,1.9266,76.9018,169.0982,2145.2139
3845,1.9418,77.2346,169.7654,2161.4873
3846,1.9418,77.5674,170.4326,2161.4873
3847,1.9502,77.9044,171.0956,2180.3342
3848,1.9502,78.2414,171.7586,2180.3342
3849,1.9522,78.5764,172.4236,2180.3342
3850,1.9524,78.9112,173.0888,2180.3342
3851,1.9574,79.2424,173.7576,2182.3684
3852,1.9574,79.5736,174.4264,2182.3684
3853,1.9754,79.9012,175.0988,2202.955
3854,1.9754,80.2288,175.7712,2202.955
3855,1.9914,80.569,176.431,2252.1863
3856,1.993,80.9124,177.0876,2258.824
3857,1.993,81.2558,177.7442,2258.824
3858,1.993,81.5992,178.4008,2258.824
3859,1.999,81.9422,179.0578,2266.9607
3860,2.0102,82.2812,179.7188,2276.7312
3861,2.011,82.6248,180.3752,2282.3472
3862,2.0412,82.9704,181.0296,2325.1206
3863,2.0426,83.3146,181.6854,2325.1206
3864,2.043,83.6584,182.3416,2325.1206
3865,2.043,84.0022,182.9978,2325.1206
3866,2.043,84.346,183.654,2325.1206
3867,2.0514,84.6974,184.3026,2357.176
3868,2.0514,85.0488,184.9512,2357.176
3869,2.0574,85.3998,185.6002,2364.456
