ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.5514,0.4486,0.5514,0
3600,0.5574,0.8984,1.1016,10.4616
3601,0.5882,1.3442,1.6558,50.9672
3602,0.6108,1.7934,2.2066,81.2052
3603,0.6108,2.2426,2.7574,81.2052
3604,0.6108,2.6918,3.3082,81.2052
3605,0.6108,3.141,3.859,81.2052
3606,0.635,3.5908,4.4092,133.0752
3607,0.635,4.0406,4.9594,133.0752
3608,0.635,4.4904,5.5096,133.0752
3609,0.635,4.9402,6.0598,133.0752
3610,0.635,5.39,6.61,133.0752
3611,0.635,5.8398,7.1602,133.0752
3612,0.635,6.2896,7.7104,133.0752
3613,0.635,6.7394,8.2606,133.0752
3614,0.635,7.1892,8.8108,133.0752
3615,0.635,7.639,9.361,133.0752
3616,0.651,8.0856,9.9144,158.0352
3617,0.6852,8.5286,10.4714,229.7616
3618,0.6974,8.9834,11.0166,274.785
3619,0.7042,9.4336,11.5664,278.8286
3620,0.7042,9.8838,12.1162,278.8286
3621,0.7042,10.334,12.666,278.8286
3622,0.7042,10.7842,13.2158,278.8286
3623,0.7042,11.2344,13.7656,278.8286
3624,0.7042,11.6846,14.3154,278.8286
3625,0.7042,12.1348,14.8652,278.8286
3626,0.7042,12.585,15.415,278.8286
3627,0.7042,13.0352,15.9648,278.8286
3628,0.7042,13.4854,16.5146,278.8286
3629,0.726,13.9366,17.0634,325.6826
3630,0.726,14.3878,17.6122,325.6826
3631,0.726,14.839,18.161,325.6826
3632,0.726,15.2902,18.7098,325.6826
3633,0.726,15.7414,19.2586,325.6826
3634,0.7362,16.194,19.806,337.7466
3635,0.7384,16.6478,20.3522,342.1666
3636,0.7384,17.1016,20.8984,342.1666
3637,0.7406,17.5568,21.4432,347.3974
3638,0.7406,18.012,21.988,347.3974
3639,0.7472,18.4684,22.5316,357.5374
3640,0.7472,18.9248,23.0752,357.5374
3641,0.7472,19.3812,23.6188,357.5374
3642,0.7472,19.8376,24.1624,357.5374
3643,0.7472,20.294,24.706,357.5374
3644,0.7596,20.76,25.24,397.2694
3645,0.7596,21.226,25.774,397.2694
3646,0.7672,21.693,26.307,413.0762
3647,0.7672,22.16,26.84,413.0762
3648,0.7708,22.6268,27.3732,418.0164
3649,0.7752,23.0936,27.9064,429.8084
3650,0.7898,23.5542,28.4458,445.2476
3651,0.7898,24.0148,28.9852,445.2476
3652,0.8018,24.4688,29.5312,452.2676
3653,0.8168,24.9312,30.0688,482.6876
3654,0.8426,25.3936,30.6064,529.2824
3655,0.8426,25.856,31.144,529.2824
3656,0.8426,26.3184,31.6816,529.2824
3657,0.8648,26.7712,32.2288,552.4412
3658,0.8664,27.2224,32.7776,552.4412
3659,0.8664,27.6736,33.3264,552.4412
3660,0.8664,28.1248,33.8752,552.4412
3661,0.8664,28.576,34.424,552.4412
3662,0.8764,29.0286,34.9714,571.9412
3663,0.8778,29.4798,35.5202,571.9412
3664,0.8778,29.931,36.069,571.9412
3665,0.8778,30.3822,36.6178,571.9412
3666,0.8778,30.8334,37.1666,571.9412
3667,0.8778,31.2846,37.7154,571.9412
3668,0.8788,31.7348,38.2652,571.9412
3669,0.879,32.1848,38.8152,571.9412
3670,0.879,32.6348,39.3652,571.9412
3671,0.879,33.0848,39.9152,571.9412
3672,0.879,33.5348,40.4652,571.9412
3673,0.879,33.9848,41.0152,571.9412
3674,0.879,34.4348,41.5652,571.9412
3675,0.879,34.8848,42.1152,571.9412
