ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.2894233,0.25342464,0,0.74657536,0
3600,0.28958255,0.49315068,0,1.5068493,0
3601,0.29069754,0.75342464,0,2.2465754,48.4863
3602,0.28822863,1.0136986,0,2.9863014,48.4863
3603,0.2927683,1.2808219,0,3.7191782,91.253426
3604,0.2894233,1.5410959,0,4.4589043,91.253426
3605,0.2894233,1.8013699,0,5.1986303,91.253426
3606,0.29085687,2.0616438,0,5.9383564,101.20548
3607,0.289264,2.328767,0,6.6712327,119.0137
3608,0.28966224,2.5958905,0,7.4041095,128.96576
3609,0.28767115,2.8561645,0,8.143836,128.96576
3610,0.288149,3.1232877,0,8.876713,141.5548
3611,0.28775078,3.3835616,0,9.616438,141.5548
3612,0.28822863,3.6438355,0,10.356164,141.5548
3613,0.28966218,3.8972602,0,11.102739,141.5548
3614,0.29021972,4.150685,0,11.849315,141.5548
3615,0.2927683,4.410959,0,12.589041,159.363
3616,0.29141438,4.678082,0,13.321918,169.31506
3617,0.28990117,4.952055,0,14.047945,186.18494
3618,0.28990117,5.239726,0,14.760274,213.9452
3619,0.28934366,5.5342464,0.006849315,15.458904,224.95891
3620,0.28926402,5.8287673,0.01369863,16.157534,224.95891
3621,0.2895826,6.1164384,0.02739726,16.856165,234.25342
3622,0.28838795,6.39726,0.04109589,17.561644,234.25342
3623,0.28838795,6.6712327,0.05479452,18.273973,234.25342
3624,0.28838795,6.9246573,0.06849315,19.00685,234.25342
3625,0.28958258,7.178082,0.08219178,19.739725,240.4863
3626,0.28942332,7.4315066,0.09589041,20.472603,259.3767
3627,0.28798974,7.678082,0.10958904,21.212328,259.3767
3628,0.28822866,7.917808,0.12328767,21.958904,259.3767
3629,0.28878617,8.150685,0.1369863,22.712328,265.85617
3630,0.288149,8.383562,0.15068494,23.465754,265.85617
3631,0.2933258,8.623287,0.16438356,24.212328,298.15753
3632,0.29133472,8.863013,0.1780822,24.958904,298.15753
3633,0.29284796,9.102739,0.19178082,25.705479,307.06165
3634,0.2916533,9.328767,0.21232876,26.458904,317.0137
3635,0.2925294,9.554794,0.23287672,27.212328,336.6644
3636,0.29221082,9.80137,0.25342464,27.945206,374.04794
3637,0.29340547,10.061644,0.2739726,28.664383,411.76028
3638,0.28639686,10.321918,0.29452056,29.383562,418.88358
3639,0.28560042,10.589041,0.31506848,30.09589,427.78766
3640,0.2844058,10.849315,0.33561644,30.81507,435.13013
3641,0.2842465,11.123287,0.3561644,31.520548,459.21234
3642,0.2827333,11.40411,0.37671232,32.219177,469.1644
3643,0.28416687,11.671233,0.39726028,32.931507,483.23972
3644,0.28679505,11.965754,0.41095892,33.623287,528.5411
3645,0.27835286,12.246575,0.42465752,34.328766,546.3493
3646,0.27707857,12.527397,0.43835616,35.03425,546.3493
3647,0.27731752,12.821918,0.4520548,35.72603,570.3767
3648,0.2774768,13.123287,0.46575344,36.410957,590.2808
3649,0.27747682,13.424658,0.47260273,37.10274,600.23285
3650,0.27715823,13.7260275,0.47945204,37.79452,609.13696
3651,0.27787504,14.027397,0.48630136,38.4863,609.13696
3652,0.2789104,14.342465,0.49315068,39.164383,644.7055
3653,0.2758043,14.664384,0.5068493,39.828766,657.2945
3654,0.27604327,14.986301,0.5205479,40.49315,657.2945
3655,0.27683967,15.308219,0.53424656,41.157536,657.2945
3656,0.27699894,15.636987,0.5479452,41.815067,669.88354
3657,0.27699894,15.952055,0.56164384,42.4863,669.88354
3658,0.2795475,16.273973,0.5753425,43.150684,691.3767
3659,0.27803433,16.582191,0.5890411,43.828766,691.3767
3660,0.27803433,16.876713,0.60273975,44.52055,691.3767
