ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.28038937,0.19753087,0.049382716,0.75308645,0
3600,0.28213042,0.4074074,0.09259259,1.5,30.623457
3601,0.2788066,0.6296296,0.13580246,2.2345679,51.333332
3602,0.27833176,0.8580247,0.17901234,2.9629629,60.302467
3603,0.28181386,1.0864197,0.22222222,3.691358,68.32716
3604,0.28102246,1.3024691,0.2654321,4.432099,68.32716
3605,0.28165558,1.5308642,0.30246913,5.1666665,84.69753
3606,0.28054762,1.7654321,0.33950618,5.8950615,92.72222
3607,0.2794397,1.9938271,0.37654322,6.6296296,101.09876
3608,0.27880657,2.228395,0.41358024,7.3580246,110.0679
3609,0.2811016,2.4814816,0.45061728,8.067902,161.39507
3610,0.27904403,2.7345679,0.4814815,8.783951,175.8642
3611,0.27849007,2.9876542,0.5123457,9.5,182.28395
3612,0.2779361,3.2407408,0.54320985,10.216049,182.28395
3613,0.2800728,3.493827,0.5740741,10.932098,191.25308
3614,0.28173473,3.7530863,0.60493827,11.641975,224.98148
3615,0.28189301,4.0308642,0.63580245,12.333333,254.11728
3616,0.28118074,4.314815,0.66049385,13.024692,266.15433
3617,0.28189301,4.6049385,0.6851852,13.709877,282.2037
3618,0.28260526,4.9074073,0.70987654,14.382716,306.92593
3619,0.2810225,5.216049,0.7345679,15.049383,312.5432
3620,0.2808642,5.5246916,0.7592593,15.716049,318.21606
3621,0.27864832,5.8271604,0.7839506,16.38889,343.5926
3622,0.2781735,6.123457,0.80864197,17.067902,351.61728
3623,0.27864832,6.432099,0.8333333,17.734568,370.14197
3624,0.27714467,6.734568,0.8580247,18.407408,395.51852
3625,0.27872744,7.04321,0.88271606,19.074074,430.4321
3626,0.2777778,7.351852,0.9074074,19.74074,430.4321
3627,0.2777778,7.648148,0.93209875,20.419754,430.4321
3628,0.28094333,7.962963,0.95679015,21.080246,469.17285
3629,0.27936056,8.271605,0.9814815,21.746914,469.17285
3630,0.28031027,8.58642,1.0061729,22.407408,490.82715
3631,0.2802311,8.907408,1.0308642,23.061728,499.7963
3632,0.28015196,9.234568,1.0555556,23.709877,514.2407
3633,0.27849007,9.567902,1.0802469,24.351852,524.1667
3634,0.27849007,9.901235,1.1111112,24.987654,524.1667
3635,0.27936056,10.234568,1.1419753,25.623457,524.1667
3636,0.27936056,10.5617285,1.1728395,26.265432,524.1667
3637,0.27999368,10.876543,1.2098765,26.91358,533.1358
3638,0.2785692,11.197531,1.2469136,27.555555,542.1049
3639,0.27635333,11.524692,1.2839506,28.191359,553.4506
3640,0.27698642,11.851851,1.3209877,28.82716,570.44446
3641,0.2765907,12.179012,1.3580247,29.462963,570.44446
3642,0.27809432,12.506173,1.3950617,30.098766,594.2469
3643,0.27738208,12.839506,1.4320987,30.728395,632.9074
3644,0.2753245,13.166667,1.4691358,31.364197,632.9074
3645,0.27833176,13.487655,1.5061729,32.006172,632.9074
3646,0.27833176,13.808642,1.5432099,32.648148,632.9074
3647,0.27872747,14.117284,1.5802469,33.302467,632.9074
3648,0.2798354,14.432098,1.6172839,33.95062,649.90125
3649,0.2803894,14.746914,1.654321,34.598766,658.2778
3650,0.2799937,15.067902,1.6851852,35.246914,679.28394
3651,0.27849007,15.37037,1.7160494,35.91358,687.30865
3652,0.280152,15.672839,1.7469136,36.580246,705.2531
3653,0.28347585,15.987655,1.7777778,37.23457,735.9691
3654,0.27904406,16.308641,1.808642,37.882717,748.00616
3655,0.27864835,16.62963,1.8395061,38.530865,755.1852
3656,0.27738214,16.932098,1.8765432,39.191357,755.1852
3657,0.2792023,17.228395,1.9135803,39.858025,787.7778
3658,0.280152,17.518518,1.9506173,40.530865,787.7778
3659,0.28252617,17.814816,1.9876543,41.197533,812.7963
3660,0.28213045,18.11111,2.0185184,41.87037,832.9136
3661,0.28173476,18.407408,2.0493827,42.54321,840.9383
3662,0.28157648,18.703703,2.080247,43.21605,852.9753
3663,0.28149733,19.006172,2.1111112,43.882717,876.1605
3664,0.2784901,19.30247,2.1419754,44.555557,876.1605
3665,0.2784901,19.598766,2.1666667,45.23457,894.09875
3666,0.27754045,19.895061,2.191358,45.91358,903.0679
3667,0.27682817,20.17284,2.2160494,46.61111,903.0679
3668,0.2774613,20.450617,2.2407408,47.308643,903.0679
3669,0.2788858,20.746914,2.2654321,47.987656,941.5123
3670,0.277857,21.030865,2.2901235,48.679012,950.4815
3671,0.27508715,21.314816,2.3148148,49.37037,950.4815
3672,0.27572027,21.58642,2.3395061,50.074074,950.4815
3673,0.27666995,21.851852,2.3641975,50.78395,950.4815
3674,0.27920234,22.123457,2.3888888,51.487656,980.5741
3675,0.2786484,22.401234,2.4135802,52.185184,999.94446
3676,0.28094342,22.685184,2.4382715,52.876545,1012.62964
3677,0.2814974,22.969135,2.4629629,53.5679,1012.62964
3678,0.28173482,23.253086,2.4876542,54.25926,1012.62964
3679,0.28173482,23.530865,2.5123458,54.95679,1012.62964
3680,0.28181395,23.808641,2.5370371,55.65432,1020.6543
3681,0.28070602,24.092592,2.5617285,56.34568,1040.9691
3682,0.28086427,24.364197,2.5864198,57.04938,1040.9691
3683,0.28102255,24.641975,2.617284,57.74074,1052.3148
3684,0.280706,24.907408,2.648148,58.444443,1065
3685,0.2803103,25.160494,2.6790123,59.160492,1076.3457
3686,0.28181392,25.419754,2.7098765,59.87037,1088.3827
3687,0.28165564,25.679012,2.7407408,60.580246,1088.3827
3688,0.28268448,25.95679,2.771605,61.271606,1119.0988
3689,0.28031027,26.234568,2.8024693,61.962963,1119.0988
3690,0.28031027,26.5,2.8333333,62.666668,1119.0988
3691,0.28268445,26.771605,2.8641975,63.364197,1141.5927
3692,0.2814182,27.049383,2.8950617,64.05556,1164.2222
3693,0.2806268,27.320988,2.925926,64.75309,1164.2222
3694,0.28078508,27.592592,2.9567902,65.450615,1173.1914
3695,0.2816556,27.845678,2.9876542,66.166664,1173.1914
3696,0.28173473,28.098766,3.0185184,66.88271,1191.1357
3697,0.28149733,28.351852,3.0555556,67.59259,1205.605
3698,0.28118074,28.604939,3.0925925,68.30247,1205.605
3699,0.28220958,28.851852,3.1296296,69.01852,1216.9506
3700,0.2877493,29.104939,3.1666667,69.72839,1225.9198
3701,0.28782842,29.345678,3.2037036,70.450615,1225.9198
3702,0.28782842,29.580246,3.2407408,71.179016,1231.5927
3703,0.2878284,29.820988,3.2777777,71.90124,1252.8086
3704,0.28679958,30.061728,3.3148148,72.62346,1264.8457
3705,0.28735358,30.30247,3.351852,73.34568,1287.3148
3706,0.28648305,30.54321,3.3888888,74.0679,1287.3148
3707,0.28814495,30.777779,3.425926,74.796295,1300
3708,0.28774926,31.018518,3.4629629,75.51852,1320.7098
3709,0.28672045,31.265432,3.5,76.234566,1335.179
3710,0.28648305,31.518518,3.5308642,76.950615,1346.5247
3711,0.2853751,31.753086,3.5617285,77.68519,1346.5247
3712,0.28933206,32.006172,3.5925925,78.40124,1391.6605
3713,0.28632477,32.271606,3.6234567,79.104935,1408.6543
3714,0.2833175,32.54321,3.654321,79.80247,1423.1234
3715,0.2831592,32.820988,3.6851852,80.49383,1432.0927
3716,0.28648305,33.092594,3.7222223,81.18519,1449.0864
3717,0.28553334,33.358025,3.7592592,81.88271,1460.4321
3718,0.28466284,33.617283,3.7962964,82.58642,1460.4321
3719,0.28466284,33.882717,3.8333333,83.28395,1476.9753
3720,0.28466284,34.160492,3.8641975,83.97531,1494.9136
3721,0.2829218,34.43827,3.8950617,84.666664,1494.9136
3722,0.28323835,34.709877,3.925926,85.3642,1494.9136
3723,0.28569165,34.987656,3.9567902,86.05556,1534.7963
