ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.6304,0.3696,0.6304,0
3600,0.6304,0.7392,1.2608,0
3601,0.6422,1.1124,1.8876,18.9806
3602,0.6464,1.4854,2.5146,24.7926
3603,0.6464,1.8584,3.1416,24.7926
3604,0.6464,2.2314,3.7686,24.7926
3605,0.6464,2.6044,4.3956,24.7926
3606,0.6504,2.9818,5.0182,40.1326
3607,0.6504,3.3592,5.6408,40.1326
3608,0.6652,3.7322,6.2678,54.5554
3609,0.6656,4.1048,6.8952,54.5554
3610,0.6656,4.4774,7.5226,54.5554
3611,0.6736,4.842,8.158,54.5554
3612,0.6742,5.206,8.794,54.5554
3613,0.6786,5.5656,9.4344,54.5554
3614,0.6792,5.9246,10.0754,54.5554
3615,0.6792,6.2836,10.7164,54.5554
3616,0.7018,6.6416,11.3584,105.1858
3617,0.703,7.0016,11.9984,111.241
3618,0.7106,7.3632,12.6368,119.613
3619,0.7106,7.7248,13.2752,119.613
3620,0.7106,8.0864,13.9136,119.613
3621,0.7106,8.448,14.552,119.613
3622,0.7302,8.8132,15.1868,183.5986
3623,0.7366,9.1784,15.8216,191.9186
3624,0.7366,9.5436,16.4564,191.9186
3625,0.7366,9.9088,17.0912,191.9186
3626,0.7466,10.2722,17.7278,213.2386
3627,0.7466,10.6356,18.3644,213.2386
3628,0.747,10.9986,19.0014,213.2386
3629,0.7602,11.3596,19.6404,236.2546
3630,0.7602,11.7206,20.2794,236.2546
3631,0.762,12.0798,20.9202,236.2546
3632,0.7788,12.4348,21.5652,249.3586
3633,0.7788,12.7898,22.2102,249.3586
3634,0.7788,13.1448,22.8552,249.3586
3635,0.7798,13.4988,23.5012,249.3586
3636,0.7906,13.8486,24.1514,258.367
3637,0.7928,14.2004,24.7996,264.4696
3638,0.8092,14.5492,25.4508,289.0988
3639,0.8092,14.898,26.102,289.0988
3640,0.8092,15.2468,26.7532,289.0988
3641,0.8132,15.5952,27.4048,295.2548
3642,0.8198,15.9432,28.0568,304.4392
3643,0.8198,16.2912,28.7088,304.4392
3644,0.8374,16.64,29.36,331.1744
3645,0.8386,16.9876,30.0124,331.1744
3646,0.8516,17.3426,30.6574,368.0168
3647,0.8562,17.6946,31.3054,370.3416
3648,0.861,18.0448,31.9552,375.7596
3649,0.8622,18.395,32.605,378.9756
3650,0.8622,18.7452,33.2548,378.9756
3651,0.8622,19.0954,33.9046,378.9756
3652,0.8622,19.4456,34.5544,378.9756
3653,0.8764,19.8078,35.1922,413.0356
3654,0.8764,20.17,35.83,413.0356
3655,0.8764,20.5322,36.4678,413.0356
3656,0.8868,20.8968,37.1032,436.562
3657,0.8868,21.2614,37.7386,436.562
3658,0.8868,21.626,38.374,436.562
3659,0.8868,21.9906,39.0094,436.562
3660,0.913,22.3474,39.6526,463.2972
3661,0.9256,22.7012,40.2988,475.7772
3662,0.9312,23.0602,40.9398,496.8372
3663,0.933,23.4174,41.5826,496.8372
3664,0.9338,23.7738,42.2262,496.8372
3665,0.9338,24.1302,42.8698,496.8372
3666,0.9338,24.4866,43.5134,496.8372
3667,0.9338,24.843,44.157,496.8372
3668,0.9338,25.1994,44.8006,496.8372
3669,0.9386,25.5534,45.4466,501.2484
3670,0.9386,25.9074,46.0926,501.2484
3671,0.9462,26.2668,46.7332,525.1424
3672,0.9574,26.6304,47.3696,542.4408
3673,0.9596,26.9952,48.0048,547.381
3674,0.9596,27.36,48.64,547.381
3675,0.9596,27.7248,49.2752,547.381
3676,0.9686,28.0868,49.9132,558.7766
3677,0.971,28.4508,50.5492,566.8638
3678,0.9828,28.8076,51.1924,578.8238
3679,0.9828,29.1644,51.8356,578.8238
3680,0.983,29.521,52.479,578.8238
3681,0.983,29.8776,53.1224,578.8238
3682,0.983,30.2342,53.7658,578.8238
3683,1.0384,30.594,54.406,656.7696
3684,1.0452,30.947,55.053,656.7696
3685,1.0518,31.3058,55.6942,679.5608
3686,1.0518,31.6646,56.3354,679.5608
3687,1.058,32.022,56.978,688.9208
3688,1.058,32.3794,57.6206,688.9208
3689,1.065,32.7414,58.2586,704.0008
3690,1.065,33.1034,58.8966,704.0008
3691,1.065,33.4654,59.5346,704.0008
3692,1.0722,33.8226,60.1774,706.4968
3693,1.077,34.1862,60.8138,722.7704
3694,1.0862,34.5544,61.4456,749.6804
3695,1.0868,34.922,62.078,749.6804
3696,1.0868,35.2896,62.7104,749.6804
3697,1.0868,35.6572,63.3428,749.6804
3698,1.0886,36.0256,63.9744,754.9164
3699,1.0886,36.394,64.606,754.9164
3700,1.112,36.7594,65.2406,807.9564
3701,1.1144,37.1224,65.8776,807.9564
3702,1.1144,37.4854,66.5146,807.9564
3703,1.1144,37.8484,67.1516,807.9564
3704,1.1246,38.2112,67.7888,819.7196
3705,1.1278,38.5764,68.4236,826.9996
3706,1.1364,38.945,69.055,850.2844
3707,1.1384,39.3154,69.6846,857.2688
3708,1.1558,39.6822,70.3178,882.1916
3709,1.1628,40.0538,70.9462,906.4406
3710,1.1634,40.4248,71.5752,906.4406
3711,1.1868,40.7944,72.2056,937.2162
3712,1.214,41.1534,72.8466,952.3222
3713,1.2142,41.5122,73.4878,952.3222
3714,1.2142,41.871,74.129,952.3222
3715,1.2314,42.2168,74.7832,960.5122
3716,1.2364,42.5634,75.4366,971.1726
3717,1.2366,42.9098,76.0902,971.1726
3718,1.2668,43.2494,76.7506,1007.8326
3719,1.2668,43.589,77.411,1007.8326
3720,1.281,43.9248,78.0752,1032.2102
3721,1.281,44.2606,78.7394,1032.2102
3722,1.3016,44.5932,79.4068,1067.9672
3723,1.3016,44.9258,80.0742,1067.9672
3724,1.3016,45.2584,80.7416,1067.9672
3725,1.3016,45.591,81.409,1067.9672
3726,1.3016,45.9236,82.0764,1067.9672
3727,1.3016,46.2562,82.7438,1067.9672
3728,1.3016,46.5888,83.4112,1067.9672
3729,1.3016,46.9214,84.0786,1067.9672
3730,1.3016,47.254,84.746,1067.9672
3731,1.31,47.5858,85.4142,1081.936
3732,1.3108,47.918,86.082,1083.6796
3733,1.3236,48.2516,86.7484,1096.6016
3734,1.325,48.5868,87.4132,1104.6416
3735,1.3262,48.9208,88.0792,1104.6416
3736,1.33,49.2546,88.7454,1111.2584
3737,1.3354,49.5962,89.4038,1128.4185
3738,1.3354,49.9378,90.0622,1128.4185
3739,1.3474,50.2828,90.7172,1158.4484
3740,1.3474,50.6278,91.3722,1158.4484
3741,1.3474,50.9728,92.0272,1158.4484
3742,1.3474,51.3178,92.6822,1158.4484
3743,1.3474,51.6628,93.3372,1158.4484
3744,1.3474,52.0078,93.9922,1158.4484
3745,1.3474,52.3528,94.6472,1158.4484
3746,1.3474,52.6978,95.3022,1158.4484
3747,1.3532,53.0434,95.9566,1170.9283
3748,1.3532,53.389,96.611,1170.9283
3749,1.357,53.7346,97.2654,1181.4088
3750,1.37,54.0778,97.9222,1202.0789
3751,1.3732,54.4206,98.5794,1206.1472
3752,1.3732,54.7634,99.2366,1206.1472
3753,1.3854,55.1112,99.8888,1231.1388
3754,1.3854,55.459,100.541,1231.1388
3755,1.3854,55.8068,101.1932,1231.1388
3756,1.3854,56.1546,101.8454,1231.1388
