ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3723,1.3312,38.039,86.961,1069.4446
3724,1.3436,38.3332,87.6668,1094.5977
3725,1.3462,38.6304,88.3696,1108.3088
3726,1.3462,38.9276,89.0724,1108.3088
3727,1.377,39.2212,89.7788,1181.8032
3728,1.3872,39.5162,90.4838,1198.658
3729,1.3974,39.8094,91.1906,1218.3477
3730,1.4112,40.1008,91.8992,1231.4517
3731,1.4196,40.3896,92.6104,1239.879
3732,1.425,40.677,93.323,1245.079
3733,1.4258,40.9636,94.0364,1245.079
3734,1.4268,41.2522,94.7478,1248.979
3735,1.4334,41.5412,95.4588,1260.297
3736,1.4346,41.829,96.171,1260.297
3737,1.4378,42.1204,96.8796,1269.137
3738,1.4462,42.4114,97.5886,1287.889
3739,1.4462,42.7024,98.2976,1287.889
3740,1.4602,42.983,99.017,1294.909
3741,1.4688,43.2648,99.7352,1303.827
3742,1.4698,43.5482,100.4518,1308.6058
3743,1.47,43.8314,101.1686,1308.6058
3744,1.4704,44.1142,101.8858,1308.6058
3745,1.4704,44.397,102.603,1308.6058
3746,1.4734,44.6832,103.3168,1316.9258
3747,1.483,44.9668,104.0332,1328.8368
3748,1.4874,45.2546,104.7454,1343.0068
3749,1.5058,45.5394,105.4606,1380.1284
3750,1.5058,45.8242,106.1758,1380.1284
3751,1.5058,46.109,106.891,1380.1284
3752,1.5068,46.3934,107.6066,1381.1544
3753,1.5068,46.6778,108.3222,1381.1544
3754,1.5084,46.9626,109.0374,1385.0544
3755,1.5084,47.2474,109.7526,1385.0544
3756,1.5084,47.5322,110.4678,1385.0544
3757,1.5238,47.8206,111.1794,1412.6614
3758,1.5282,48.1062,111.8938,1414.9862
3759,1.53,48.3942,112.6058,1425.9063
3760,1.5304,48.6818,113.3182,1425.9063
3761,1.543,48.9652,114.0348,1435.9778
3762,1.5432,49.2484,114.7516,1435.9778
3763,1.5576,49.5222,115.4778,1443.2428
3764,1.5588,49.7954,116.2046,1444.1146
3765,1.5598,50.0698,116.9302,1448.6356
3766,1.561,50.343,117.657,1448.6356
3767,1.588,50.628,118.372,1517.177
3768,1.5998,50.9144,119.0856,1543.0878
3769,1.6014,51.2006,119.7994,1545.122
3770,1.6018,51.4864,120.5136,1545.122
3771,1.606,51.768,121.232,1545.122
3772,1.6268,52.044,121.956,1569.2115
3773,1.6268,52.32,122.68,1569.2115
3774,1.6294,52.5976,123.4024,1576.9312
3775,1.6418,52.8748,124.1252,1592.4624
3776,1.6418,53.152,124.848,1592.4624
3777,1.6464,53.4314,125.5686,1604.141
3778,1.6532,53.708,126.292,1611.493
3779,1.6532,53.9846,127.0154,1611.493
3780,1.672,54.266,127.734,1651.4004
3781,1.6786,54.5474,128.4526,1660.47
3782,1.7084,54.8304,129.1696,1712.1002
3783,1.7254,55.1074,129.8926,1735.0322
