ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3598,0.6992,0.3008,0.6992,0
3599,0.6992,0.6016,1.3984,0
3600,0.7018,0.9014,2.0986,2.3248
3601,0.702,1.2016,2.7984,3.5578
3602,0.702,1.5018,3.4982,3.5578
3603,0.712,1.8026,4.1974,20.1714
3604,0.7122,2.1032,4.8968,20.1714
3605,0.7266,2.4096,5.5904,51.3334
3606,0.7372,2.7168,6.2832,66.9334
3607,0.738,3.0232,6.9768,66.9334
3608,0.749,3.3194,7.6806,68.0958
3609,0.7492,3.6154,8.3846,68.0958
3610,0.754,3.9156,9.0844,88.0306
3611,0.7544,4.2154,9.7846,88.0306
3612,0.7586,4.5176,10.4824,96.6106
3613,0.7648,4.8202,11.1798,104.5714
3614,0.7692,5.1232,11.8768,113.3938
3615,0.774,5.426,12.574,120.7866
3616,0.7802,5.728,13.272,131.3166
3617,0.7806,6.0312,13.9688,134.2596
3618,0.784,6.3406,14.6594,159.2196
3619,0.797,6.6458,15.3542,175.9804
3620,0.8016,6.9464,16.0536,175.9804
3621,0.8122,7.244,16.756,189.5188
3622,0.8122,7.5416,17.4584,189.5188
3623,0.8176,7.8404,18.1596,197.1946
3624,0.8252,8.1366,18.8634,203.8246
3625,0.8326,8.4422,19.5578,221.2682
3626,0.8384,8.742,20.258,221.2682
3627,0.8468,9.0488,20.9512,249.335
3628,0.8548,9.3528,21.6472,258.8926
3629,0.8574,9.6576,22.3424,263.1316
3630,0.8574,9.9624,23.0376,263.1316
3631,0.8574,10.2672,23.7328,263.1316
3632,0.8602,10.5716,24.4284,265.6276
3633,0.8736,10.8762,25.1238,284.9612
3634,0.8758,11.1826,25.8174,290.7732
3635,0.8798,11.4866,26.5134,293.8932
3636,0.8874,11.7874,27.2126,299.864
3637,0.8934,12.0868,27.9132,306.2418
3638,0.894,12.3894,28.6106,310.1938
3639,0.8974,12.6916,29.3084,315.7078
3640,0.901,12.9956,30.0044,323.2478
3641,0.9028,13.3008,30.6992,331.0478
3642,0.9044,13.6078,31.3922,340.1598
3643,0.9052,13.914,32.086,340.1598
3644,0.9086,14.222,32.778,350.2998
3645,0.922,14.5296,33.4704,368.485
3646,0.9278,14.838,34.162,376.3984
3647,0.9278,15.1464,34.8536,376.3984
3648,0.9428,15.4542,35.5458,397.1074
3649,0.9462,15.7588,36.2412,397.6434
3650,0.9492,16.069,36.931,413.4502
3651,0.9496,16.3806,37.6194,417.9254
3652,0.9496,16.6922,38.3078,417.9254
3653,0.9566,17.0088,38.9912,433.5254
3654,0.958,17.327,39.673,439.6904
3655,0.9598,17.6462,40.3538,443.7588
3656,0.9672,17.9664,41.0336,459.0678
3657,0.9798,18.282,41.718,481.0226
3658,0.9826,18.5956,42.4044,482.0626
3659,0.9876,18.9078,43.0922,489.6198
3660,0.9964,19.2194,43.7806,501.5344
3661,1.0004,19.5312,44.4688,507.5984
3662,1.0008,19.8426,45.1574,507.5984
3663,1.0032,20.1562,45.8438,517.9984
3664,1.0032,20.4698,46.5302,517.9984
3665,1.009,20.7876,47.2124,532.6524
3666,1.0154,21.1066,47.8934,542.8538
3667,1.0244,21.4204,48.5796,549.8382
3668,1.0282,21.7348,49.2652,557.9254
3669,1.0334,22.0476,49.9524,563.1562
3670,1.0448,22.3566,50.6434,577.5702
3671,1.0482,22.6654,51.3346,582.4682
3672,1.0516,22.9732,52.0268,588.7082
3673,1.0552,23.2806,52.7194,593.3578
3674,1.061,23.588,53.412,604.0182
3675,1.0644,23.892,54.108,604.0182
3676,1.0726,24.1952,54.8048,621.3638
3677,1.073,24.498,55.502,621.3638
3678,1.0764,24.8024,56.1976,634.3638
3679,1.081,25.1066,56.8934,643.4058
3680,1.087,25.4054,57.5946,644.2776
3681,1.0882,25.7046,58.2954,646.3576
3682,1.091,26.004,58.996,652.2076
3683,1.0968,26.3022,59.6978,660.6624
3684,1.0976,26.5996,60.4004,660.6624
3685,1.1006,26.9,61.1,669.3804
3686,1.1066,27.2032,61.7968,686.5404
3687,1.1124,27.5006,62.4994,686.5404
3688,1.1162,27.7976,63.2024,692.7896
3689,1.1162,28.0946,63.9054,692.7896
3690,1.122,28.3984,64.6016,712.588
3691,1.1302,28.7036,65.2964,725.6668
3692,1.1334,29.0082,65.9918,728.3708
3693,1.1354,29.3136,66.6864,732.0108
3694,1.1426,29.6258,67.3742,755.418
3695,1.1558,29.9416,68.0584,778.5912
3696,1.156,30.2572,68.7428,778.5912
3697,1.1576,30.5744,69.4256,786.4952
3698,1.165,30.8962,70.1038,803.9312
3699,1.1716,31.2198,70.7802,816.2252
3700,1.1764,31.5436,71.4564,824.1868
3701,1.1778,31.866,72.134,824.1868
3702,1.186,32.1924,72.8076,847.1746
3703,1.186,32.5188,73.4812,847.1746
3704,1.1874,32.8456,74.1544,851.0786
3705,1.1878,33.172,74.828,851.0786
3706,1.1878,33.4984,75.5016,851.0786
3707,1.1994,33.8316,76.1684,881.229
3708,1.2104,34.1592,76.8408,889.0752
3709,1.2116,34.4856,77.5144,889.0752
3710,1.2224,34.8074,78.1926,897.779
3711,1.2228,35.1308,78.8692,901.889
3712,1.2292,35.4506,79.5494,904.437
3713,1.239,35.7702,80.2298,918.531
3714,1.2392,36.0896,80.9104,918.531
3715,1.2404,36.4078,81.5922,918.531
3716,1.2452,36.7246,82.2754,924.251
3717,1.2534,37.0394,82.9606,938.7838
3718,1.2602,37.3554,83.6446,956.9094
3719,1.2602,37.6714,84.3286,956.9094
3720,1.2636,37.9848,85.0152,958.0718
3721,1.2636,38.2982,85.7018,958.0718
3722,1.2644,38.6108,86.3892,958.0718
3723,1.2712,38.9324,87.0676,993.1174
3724,1.2738,39.2534,87.7466,998.3174
3725,1.2792,39.5794,88.4206,1013.6102
3726,1.283,39.9034,89.0966,1015.9502
3727,1.2864,40.224,89.776,1015.9502
3728,1.2906,40.543,90.457,1020.4642
3729,1.2916,40.8624,91.1376,1022.4984
3730,1.2974,41.185,91.815,1039.2096
3731,1.2992,41.5058,92.4942,1039.2096
3732,1.2998,41.826,93.174,1039.2096
3733,1.3072,42.1496,93.8504,1050.4496
3734,1.3268,42.4682,94.5318,1072.974
3735,1.3296,42.7852,95.2148,1074.836
3736,1.3356,43.1012,95.8988,1084.586
3737,1.3466,43.4134,96.5866,1096.6378
3738,1.3492,43.7252,97.2748,1102.2054
3739,1.3606,44.0406,97.9594,1129.7754
3740,1.3628,44.3538,98.6462,1129.7754
3741,1.363,44.6684,99.3316,1131.8553
