ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.26991355,0.19620253,0.050632913,0.7531645,0
3600,0.27176598,0.4050633,0.094936706,1.5,18.392405
3601,0.2696048,0.62658226,0.1392405,2.234177,39.626583
3602,0.26860145,0.8544304,0.18354431,2.9620254,48.822784
3603,0.27215192,1.0886075,0.2278481,3.6835444,74.01266
3604,0.2707626,1.3101265,0.2721519,4.4177217,74.01266
3605,0.27207473,1.5443038,0.31012657,5.14557,90.79747
3606,0.27292377,1.7911392,0.34810126,5.8607593,107.61392
3607,0.27138004,2.0316455,0.38607594,6.5822783,107.61392
3608,0.27192035,2.278481,0.42405063,7.297468,116.81013
3609,0.27261502,2.5379746,0.4620253,8,137.63924
3610,0.2737728,2.7974684,0.49367088,8.70886,152.47469
3611,0.27385,3.063291,0.5253165,9.411392,185.07594
3612,0.27261505,3.329114,0.556962,10.113924,185.07594
3613,0.27516216,3.5886075,0.5886076,10.822784,194.27216
3614,0.27523938,3.8544304,0.62025315,11.525316,216.72784
3615,0.27423596,4.126582,0.65189874,12.2215185,224.9557
3616,0.27585682,4.405063,0.6772152,12.917722,237.29747
3617,0.27678305,4.683544,0.70253164,13.613924,237.29747
3618,0.2774777,4.981013,0.7278481,14.29114,268.40506
3619,0.27570248,5.28481,0.7531645,14.962026,278.58228
3620,0.2760112,5.588608,0.778481,15.632912,284.39874
3621,0.2726923,5.879747,0.8037975,16.316456,284.39874
3622,0.2726923,6.170886,0.8291139,17,292.6266
3623,0.27300102,6.474684,0.8544304,17.670887,311.62024
3624,0.2706855,6.759494,0.87974685,18.36076,311.62024
3625,0.27207482,7.044304,0.9050633,19.050632,340.6329
3626,0.2704539,7.322785,0.93037975,19.746836,340.6329
3627,0.2704539,7.5822783,0.9556962,20.462025,340.6329
3628,0.27369565,7.8607593,0.98101264,21.158228,380.35443
3629,0.2731554,8.13924,1.006329,21.854431,386.34177
3630,0.275085,8.42405,1.0316455,22.544304,404.7342
3631,0.27091703,8.70886,1.056962,23.234177,404.7342
3632,0.27176607,9,1.0822785,23.91772,419.5443
3633,0.2711486,9.28481,1.107595,24.607595,419.5443
3634,0.2711486,9.56962,1.1392405,25.29114,419.5443
3635,0.27176607,9.867088,1.170886,25.962025,437.9367
3636,0.2701452,10.158228,1.2025317,26.63924,450.27847
3637,0.26991367,10.443038,1.2405063,27.316456,459.47467
3638,0.26945058,10.734178,1.278481,27.98734,468.6709
3639,0.26782972,11.050632,1.3164557,28.632912,515.8101
3640,0.26752096,11.373418,1.3544304,29.272152,531.79114
3641,0.26698068,11.696202,1.392405,29.911392,531.79114
3642,0.26728943,12.012658,1.4303797,30.556963,543.4241
3643,0.26813844,12.329114,1.4683545,31.202532,572.88605
3644,0.26651758,12.63924,1.506329,31.854431,572.88605
3645,0.27107143,12.949368,1.5443038,32.50633,604.68353
3646,0.2696821,13.259494,1.5822785,33.158226,604.68353
3647,0.27029958,13.563292,1.6202532,33.816456,621.1392
3648,0.27330977,13.873418,1.6582278,34.468353,647.1519
3649,0.27238357,14.183544,1.6962025,35.120255,647.1519
3650,0.27238357,14.49367,1.727848,35.77848,656.3481
3651,0.2717661,14.797468,1.7594937,36.44304,664.5759
3652,0.27230638,15.094936,1.7911392,37.113926,664.5759
3653,0.2757797,15.398734,1.8227848,37.77848,696.06964
3654,0.27238357,15.70886,1.8544304,38.43671,703.43036
3655,0.2712258,16.01266,1.886076,39.101265,703.43036
3656,0.27138016,16.303797,1.9240507,39.772152,703.43036
3657,0.27338696,16.594936,1.9620253,40.44304,720.3924
3658,0.27539375,16.886076,2,41.113926,735.22784
3659,0.2755481,17.183544,2.0379746,41.77848,751.68353
3660,0.2726923,17.474684,2.0696204,42.455696,772.3101
3661,0.27153453,17.765823,2.101266,43.13291,780.53796
3662,0.2726923,18.063292,2.1329114,43.8038,805.2215
3663,0.27230638,18.367088,2.164557,44.468353,816.6519
3664,0.26960492,18.664557,2.1962025,45.13924,816.6519
3665,0.26983646,18.955696,2.221519,45.822784,825.8481
3666,0.27161172,19.259493,2.2468355,46.49367,849.87976
3667,0.27153453,19.556963,2.272152,47.170887,861.51263
3668,0.27300104,19.854431,2.2974684,47.848103,861.51263
3669,0.27307823,20.158228,2.322785,48.518986,873.14557
3670,0.27276948,20.443037,2.3481014,49.208862,873.14557
3671,0.27408162,20.746836,2.3734176,49.879745,906.7468
3672,0.2722292,21.037975,2.398734,50.56329,906.7468
3673,0.27346414,21.341772,2.4240506,51.234177,923.5316
3674,0.2746219,21.645569,2.449367,51.905064,946.7975
