ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.6994,0.3006,0.6994,0
3600,0.7096,0.6032,1.3968,17.7266
3601,0.7114,0.9092,2.0908,24.7886
3602,0.7186,1.2134,2.7866,32.6348
3603,0.7304,1.5122,3.4878,42.3348
3604,0.7308,1.8106,4.1894,42.3348
3605,0.7378,2.1102,4.8898,52.6746
3606,0.7494,2.407,5.593,64.4794
3607,0.7494,2.7038,6.2962,64.4794
3608,0.7514,2.9998,7.0002,66.223
3609,0.7584,3.2936,7.7064,74.3524
3610,0.7716,3.586,8.414,102.0116
3611,0.7748,3.881,9.119,111.7288
3612,0.7762,4.1746,9.8254,111.7288
3613,0.7844,4.4626,10.5374,115.5066
3614,0.7942,4.762,11.238,153.8578
3615,0.8086,5.0526,11.9474,161.1378
3616,0.8188,5.338,12.662,170.8878
3617,0.8214,5.6208,13.3792,170.8878
3618,0.8276,5.9076,14.0924,185.8908
3619,0.83,6.194,14.806,189.1068
3620,0.8348,6.4874,15.5126,199.951
3621,0.8348,6.7808,16.2192,199.951
3622,0.8374,7.0744,16.9256,203.591
3623,0.8506,7.373,17.627,230.1576
3624,0.8506,7.6716,18.3284,230.1576
3625,0.8636,7.9708,19.0292,260.22
3626,0.8636,8.27,19.73,260.22
3627,0.8636,8.5692,20.4308,260.22
3628,0.8808,8.8646,21.1354,286.3732
3629,0.8846,9.1576,21.8424,287.6976
3630,0.898,9.4562,22.5438,315.3046
3631,0.8986,9.7542,23.2458,315.3046
3632,0.9066,10.0522,23.9478,323.8326
3633,0.9072,10.3496,24.6504,323.8326
3634,0.9072,10.647,25.353,323.8326
3635,0.9106,10.947,26.053,332.5506
3636,0.911,11.2484,26.7516,336.0606
3637,0.9182,11.5526,27.4474,350.5906
3638,0.9278,11.8612,28.1388,370.9326
3639,0.933,12.1732,28.8268,386.4102
3640,0.9458,12.4854,29.5146,404.7658
3641,0.9498,12.7936,30.2064,404.7658
3642,0.9548,13.101,30.899,412.4854
3643,0.9636,13.4108,31.5892,438.9894
3644,0.964,13.7202,32.2798,438.9894
3645,0.9758,14.0214,32.9786,447.7638
3646,0.9758,14.3226,33.6774,447.7638
3647,0.9774,14.6222,34.3778,447.7638
3648,0.9892,14.9164,35.0836,456.4954
3649,0.9892,15.2106,35.7894,456.4954
3650,0.993,15.5092,36.4908,468.41
3651,0.9958,15.808,37.192,472.31
3652,1.0002,16.1024,37.8976,472.31
3653,1.0266,16.4016,38.5984,520.8324
3654,1.0368,16.6988,39.3012,530.369
3655,1.0368,16.996,40.004,530.369
3656,1.0372,17.2928,40.7072,530.369
3657,1.0438,17.5844,41.4156,534.121
3658,1.0498,17.872,42.128,538.809
3659,1.0538,18.1688,42.8312,573.129
3660,1.0592,18.4652,43.5348,581.453
3661,1.0604,18.763,44.237,584.833
3662,1.07,19.0614,44.9386,604.723
3663,1.076,19.3634,45.6366,622.0606
3664,1.0766,19.6648,46.3352,622.0606
3665,1.0772,19.9672,47.0328,624.3854
3666,1.0864,20.2658,47.7342,634.0136
3667,1.0896,20.5628,48.4372,636.9544
3668,1.094,20.8554,49.1446,636.9544
3669,1.097,21.1486,49.8514,643.5712
3670,1.097,21.4418,50.5582,643.5712
3671,1.1022,21.7378,51.2622,654.8056
3672,1.1036,22.0324,51.9676,654.8056
3673,1.1134,22.3254,52.6746,665.1962
3674,1.123,22.6174,53.3826,681.003
3675,1.1262,22.9114,54.0886,688.9466
3676,1.1356,23.196,54.804,688.9466
3677,1.1376,23.4786,55.5214,688.9466
3678,1.1376,23.7612,56.2388,688.9466
3679,1.1376,24.0438,56.9562,688.9466
3680,1.1376,24.3264,57.6736,688.9466
3681,1.1428,24.6102,58.3898,700.7098
3682,1.1484,24.8884,59.1116,700.7098
3683,1.151,25.1682,59.8318,708.4294
3684,1.151,25.448,60.552,708.4294
3685,1.152,25.7292,61.2708,712.8406
3686,1.164,26.0022,61.9978,720.2506
3687,1.164,26.2752,62.7248,720.2506
3688,1.1714,26.546,63.454,729.8082
3689,1.1714,26.8168,64.1832,729.8082
3690,1.175,27.0876,64.9124,735.9642
3691,1.1798,27.3622,65.6378,747.1442
3692,1.19,27.6382,66.3618,760.8722
3693,1.19,27.9142,67.0858,760.8722
3694,1.1934,28.1912,67.8088,767.2654
3695,1.1946,28.467,68.533,767.2654
3696,1.195,28.7426,69.2574,768.0876
3697,1.1966,29.0166,69.9834,768.0876
3698,1.1988,29.2884,70.7116,768.0876
3699,1.2058,29.5572,71.4428,776.0492
3700,1.2262,29.8096,72.1904,781.8612
3701,1.2284,30.0598,72.9402,781.8612
3702,1.2416,30.3132,73.6868,796.9328
3703,1.273,30.5732,74.4268,861.736
3704,1.2774,30.8324,75.1676,865.48
3705,1.2794,31.093,75.907,875.3638
3706,1.2828,31.3578,76.6422,888.6238
3707,1.2878,31.6218,77.3782,897.2548
3708,1.2946,31.891,78.109,917.5358
3709,1.3082,32.1616,78.8384,951.9444
3710,1.3104,32.4344,79.5656,960.0316
3711,1.3112,32.7064,80.2936,960.0316
3712,1.3404,32.9776,81.0224,1012.6908
3713,1.3508,33.2598,81.7402,1042.1632
3714,1.3578,33.5538,82.4462,1073.058
3715,1.3756,33.8422,83.1578,1090.7845
3716,1.382,34.129,83.871,1097.5142
3717,1.382,34.4158,84.5842,1097.5142
3718,1.382,34.7026,85.2974,1097.5142
3719,1.3836,34.991,86.009,1105.015
3720,1.3874,35.2832,86.7168,1116.0577
3721,1.3874,35.5754,87.4246,1116.0577
3722,1.3956,35.8636,88.1364,1124.6888
3723,1.406,36.152,88.848,1145.1028
3724,1.4062,36.4402,89.5598,1145.1028
3725,1.4206,36.7232,90.2768,1156.4384
3726,1.4246,37.0066,90.9934,1162.2728
3727,1.4246,37.29,91.71,1162.2728
3728,1.4266,37.5714,92.4286,1162.2728
3729,1.4286,37.8522,93.1478,1164.0928
3730,1.4448,38.128,93.872,1189.0708
3731,1.4448,38.4038,94.5962,1189.0708
3732,1.4582,38.6792,95.3208,1218.1556
3733,1.469,38.957,96.043,1231.9586
3734,1.4702,39.235,96.765,1234.5319
3735,1.4702,39.513,97.487,1234.5319
3736,1.4734,39.7878,98.2122,1234.5319
3737,1.4738,40.0622,98.9378,1234.5319
3738,1.4738,40.3366,99.6634,1234.5319
3739,1.4774,40.614,100.386,1246.6626
3740,1.4774,40.8914,101.1086,1246.6626
3741,1.4774,41.1688,101.8312,1246.6626
3742,1.4798,41.4508,102.5492,1263.0706
3743,1.4932,41.736,103.264,1298.3378
3744,1.4932,42.0212,103.9788,1298.3378
3745,1.5062,42.312,104.688,1324.9352
3746,1.5144,42.6008,105.3992,1337.1512
3747,1.5144,42.891,106.109,1340.9032
3748,1.5182,43.1836,106.8164,1353.0302
3749,1.5252,43.478,107.522,1366.9054
3750,1.5252,43.7724,108.2276,1366.9054
3751,1.5258,44.0662,108.9338,1366.9054
3752,1.5266,44.3592,109.6408,1366.9054
3753,1.5376,44.6522,110.3478,1382.8884
3754,1.5376,44.9452,111.0548,1382.8884
3755,1.5518,45.2404,111.7596,1406.7177
3756,1.5534,45.5418,112.4582,1422.7466
3757,1.554,45.8444,113.1556,1426.4456
3758,1.5746,46.1446,113.8554,1452.8903
3759,1.5782,46.448,114.552,1465.3885
3760,1.5782,46.7514,115.2486,1465.3885
3761,1.5782,47.0548,115.9452,1465.3885
3762,1.5924,47.3606,116.6394,1489.4664
3763,1.5978,47.6658,117.3342,1499.0994
3764,1.603,47.9738,118.0262,1509.9554
3765,1.611,48.2824,118.7176,1521.1354
3766,1.614,48.588,119.412,1521.1354
3767,1.6148,48.8948,120.1052,1526.4954
3768,1.6324,49.2004,120.7996,1550.3246
3769,1.645,49.5,121.5,1563.1946
3770,1.6524,49.8032,122.1968,1579.1776
3771,1.6614,50.0974,122.9026,1579.1776
3772,1.6676,50.3928,123.6072,1586.9257
3773,1.6714,50.6858,124.3142,1589.4988
3774,1.6792,50.9792,125.0208,1599.0354
3775,1.6872,51.271,125.729,1609.3978
3776,1.6942,51.5558,126.4442,1609.3978
3777,1.6944,51.8404,127.1596,1609.3978
3778,1.697,52.1224,127.8776,1609.3978
3779,1.7044,52.4022,128.5978,1622.9178
3780,1.716,52.6818,129.3182,1642.8002
3781,1.716,52.9614,130.0386,1642.8002
3782,1.716,53.241,130.759,1642.8002
3783,1.7328,53.5342,131.4658,1705.753
3784,1.7366,53.8236,132.1764,1705.753
3785,1.7368,54.1154,132.8846,1709.5308
3786,1.7426,54.403,133.597,1711.8556
3787,1.748,54.6884,134.3116,1717.7372
3788,1.7492,54.9726,135.0274,1717.7372
3789,1.75,55.2568,135.7432,1718.7772
3790,1.754,55.5424,136.4576,1731.4348
3791,1.7562,55.828,137.172,1735.1968
3792,1.7582,56.1128,137.8872,1736.332
3793,1.767,56.4012,138.5988,1750.6934
3794,1.767,56.6896,139.3104,1750.6934
3795,1.7738,56.977,140.023,1761.3538
3796,1.7744,57.2638,140.7362,1761.3538
3797,1.7744,57.5506,141.4494,1761.3538
3798,1.7802,57.836,142.164,1765.9298
3799,1.7806,58.1226,142.8774,1768.2546
3800,1.7868,58.4138,143.5862,1779.6125
3801,1.7924,58.7038,144.2962,1785.3326
3802,1.7964,58.9956,145.0044,1793.2032
3803,1.8036,59.2878,145.7122,1807.572
3804,1.8094,59.582,146.418,1822.5498
3805,1.817,59.8762,147.1238,1832.4298
3806,1.8252,60.174,147.826,1847.7698
3807,1.8254,60.4716,148.5284,1847.7698
3808,1.8346,60.7716,149.2284,1869.0906
3809,1.8494,61.0716,149.9284,1893.5363
3810,1.8494,61.3716,150.6284,1893.5363
3811,1.8526,61.6696,151.3304,1896.6563
3812,1.8526,61.9676,152.0324,1896.6563
3813,1.8546,62.2686,152.7314,1909.6563
3814,1.8546,62.5696,153.4304,1909.6563
3815,1.8716,62.8746,154.1254,1942.4554
3816,1.872,63.1792,154.8208,1942.4554
3817,1.872,63.4838,155.5162,1942.4554
3818,1.8834,63.7934,156.2066,1966.2845
3819,1.8932,64.101,156.899,1974.3966
3820,1.894,64.4078,157.5922,1974.3966
3821,1.8942,64.7144,158.2856,1974.3966
3822,1.901,65.018,158.982,1981.381
3823,1.9052,65.3198,159.6802,1987.0066
3824,1.912,65.6176,160.3824,1990.6466
