ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.7108,0.2892,0.7108,0
3600,0.7192,0.57,1.43,0
3601,0.7306,0.8482,2.1518,12.346
3602,0.7308,1.1262,2.8738,12.346
3603,0.7316,1.4044,3.5956,14.184
3604,0.7446,1.6808,4.3192,37.2
3605,0.7448,1.957,5.043,37.2
3606,0.7448,2.2332,5.7668,37.2
3607,0.755,2.5044,6.4956,46.7576
3608,0.7668,2.7748,7.2252,75.3576
3609,0.7692,3.048,7.952,82.2528
3610,0.7858,3.324,8.676,117.7948
3611,0.7858,3.6,9.4,117.7948
3612,0.79,3.8726,10.1274,119.4388
3613,0.7906,4.1446,10.8554,119.4388
3614,0.8084,4.4202,11.5798,150.3188
3615,0.8124,4.6918,12.3082,150.3188
3616,0.8132,4.9662,13.0338,157.7168
3617,0.8132,5.2406,13.7594,157.7168
3618,0.8202,5.528,14.472,201.6736
3619,0.8294,5.8162,15.1838,217.2316
3620,0.8294,6.1044,15.8956,217.2316
3621,0.8388,6.3832,16.6168,217.2316
3622,0.8424,6.6656,17.3344,227.6932
3623,0.843,6.9486,18.0514,229.4368
3624,0.8722,7.2328,18.7672,273.4336
3625,0.8722,7.517,19.483,273.4336
3626,0.8724,7.801,20.199,273.4336
3627,0.8746,8.0828,20.9172,273.4336
3628,0.8748,8.3644,21.6356,273.4336
3629,0.8748,8.646,22.354,273.4336
3630,0.8784,8.9262,23.0738,276.2936
3631,0.8784,9.2064,23.7936,276.2936
3632,0.8784,9.4866,24.5134,276.2936
3633,0.8834,9.7674,25.2326,282.1176
3634,0.8958,10.0528,25.9472,312.3458
3635,0.9146,10.3476,26.6524,348.003
3636,0.9256,10.6314,27.3686,348.003
3637,0.944,10.923,28.077,394.6236
3638,0.9476,11.222,28.778,408.9236
3639,0.9546,11.5156,29.4844,413.2116
3640,0.9714,11.8102,30.1898,443.6784
3641,0.973,12.1048,30.8952,447.9664
3642,0.974,12.3984,31.6016,447.9664
3643,0.9762,12.6898,32.3102,447.9664
3644,0.9782,12.9832,33.0168,453.1664
3645,0.9854,13.2778,33.7222,462.9356
3646,0.9866,13.5752,34.4248,473.6556
3647,0.998,13.8746,35.1254,489.2398
3648,1.0022,14.1736,35.8264,496.1472
3649,1.0236,14.4764,36.5236,547.6992
3650,1.0236,14.7792,37.2208,547.6992
3651,1.0282,15.086,37.914,565.3722
3652,1.0372,15.4038,38.5962,594.4322
3653,1.0466,15.7232,39.2768,610.4152
3654,1.0466,16.0426,39.9574,610.4152
3655,1.0482,16.3604,40.6396,610.4152
3656,1.0522,16.6776,41.3224,616.6644
3657,1.072,16.995,42.005,645.7244
3658,1.0772,17.3156,42.6844,661.8676
3659,1.0782,17.6352,43.3648,661.8676
3660,1.0858,17.9524,44.0476,668.6276
3661,1.0978,18.2774,44.7226,694.3676
3662,1.1032,18.6046,45.3954,709.1876
3663,1.1118,18.933,46.067,726.4958
3664,1.1122,19.261,46.739,726.4958
3665,1.1212,19.5912,47.4088,742.7694
3666,1.1214,19.9212,48.0788,742.7694
3667,1.1214,20.2512,48.7488,742.7694
3668,1.1214,20.5812,49.4188,742.7694
3669,1.1214,20.9112,50.0888,742.7694
3670,1.132,21.2398,50.7602,755.219
3671,1.1346,21.5658,51.4342,755.219
3672,1.1368,21.8896,52.1104,755.219
3673,1.1604,22.204,52.796,775.8516
3674,1.1636,22.5172,53.4828,779.7516
3675,1.1636,22.8304,54.1696,779.7516
3676,1.1636,23.1436,54.8564,779.7516
3677,1.165,23.4554,55.5446,779.7516
3678,1.1734,23.7702,56.2298,794.5716
3679,1.1832,24.0836,56.9164,806.7768
3680,1.187,24.402,57.598,819.5632
3681,1.2002,24.7188,58.2812,831.9102
3682,1.2004,25.0354,58.9646,831.9102
3683,1.2044,25.3494,59.6506,835.1918
3684,1.2044,25.6634,60.3366,835.1918
3685,1.2052,25.9766,61.0234,835.1918
3686,1.219,26.2924,61.7076,877.8318
3687,1.2246,26.6074,62.3926,887.6958
3688,1.2322,26.921,63.079,899.7858
3689,1.2322,27.2346,63.7654,899.7858
3690,1.2354,27.5502,64.4498,908.6778
3691,1.2398,27.8708,65.1292,920.8978
3692,1.251,28.192,65.808,942.2086
3693,1.251,28.5132,66.4868,942.2086
3694,1.251,28.8344,67.1656,942.2086
3695,1.251,29.1556,67.8444,942.2086
3696,1.2526,29.4752,68.5248,942.2086
3697,1.2648,29.7826,69.2174,942.2086
3698,1.2674,30.0966,69.9034,955.5762
3699,1.268,30.41,70.59,955.5762
3700,1.2686,30.7228,71.2772,955.5762
3701,1.271,31.035,71.965,959.2752
3702,1.2718,31.3466,72.6534,959.8566
3703,1.273,31.657,73.343,959.8566
3704,1.2774,31.9672,74.0328,967.5762
3705,1.282,32.2826,74.7174,993.0562
3706,1.2862,32.5954,75.4046,995.1362
3707,1.2988,32.9194,76.0806,1044.0417
3708,1.3014,33.2408,76.7592,1044.0417
3709,1.3022,33.5614,77.4386,1044.0417
3710,1.308,33.8796,78.1204,1050.291
3711,1.3136,34.194,78.806,1052.631
3712,1.3288,34.511,79.489,1074.8566
3713,1.3374,34.8258,80.1742,1081.4408
3714,1.353,35.1302,80.8698,1092.1268
3715,1.3542,35.4352,81.5648,1094.4668
3716,1.3586,35.7358,82.2642,1094.4668
3717,1.3586,36.0364,82.9636,1094.4668
3718,1.3586,36.3378,83.6622,1095.6292
3719,1.3692,36.6346,84.3654,1105.9376
3720,1.3692,36.9314,85.0686,1105.9376
3721,1.3762,37.2368,85.7632,1126.2177
3722,1.3946,37.5332,86.4668,1139.8759
3723,1.398,37.8292,87.1708,1145.3898
3724,1.398,38.1252,87.8748,1145.3898
3725,1.4012,38.4232,88.5768,1152.9454
3726,1.402,38.7204,89.2796,1152.9454
3727,1.436,39.009,89.991,1220.2662
3728,1.4384,39.2982,90.7018,1228.3062
3729,1.4574,39.5946,91.4054,1268.7618
3730,1.4696,39.888,92.112,1279.3698
3731,1.4746,40.1802,92.8198,1285.4342
3732,1.4746,40.4724,93.5276,1285.4342
3733,1.4746,40.7646,94.2354,1285.4342
3734,1.476,41.0574,94.9426,1288.0342
3735,1.476,41.3502,95.6498,1288.0342
3736,1.477,41.6442,96.3558,1294.4296
3737,1.4842,41.9338,97.0662,1298.498
3738,1.4926,42.226,97.774,1324.282
3739,1.4946,42.5226,98.4774,1333.5812
3740,1.4946,42.8192,99.1808,1333.5812
3741,1.506,43.1162,99.8838,1344.3192
3742,1.5062,43.413,100.587,1344.3192
3743,1.5068,43.7092,101.2908,1344.3192
3744,1.5226,43.9998,102.0002,1363.0668
3745,1.5228,44.2902,102.7098,1363.0668
3746,1.5256,44.5836,103.4164,1370.6068
3747,1.535,44.8818,104.1182,1388.3396
3748,1.5522,45.1826,104.8174,1429.9484
3749,1.5612,45.4784,105.5216,1440.3484
3750,1.5758,45.7702,106.2298,1454.7325
3751,1.576,46.0618,106.9382,1454.7325
3752,1.5798,46.3574,107.6426,1468.8195
3753,1.586,46.6558,108.3442,1483.0514
3754,1.591,46.9528,109.0472,1490.0714
3755,1.6016,47.2492,109.7508,1502.8838
3756,1.6016,47.5456,110.4544,1502.8838
3757,1.6098,47.8466,111.1534,1520.2534
3758,1.6122,48.1506,111.8494,1530.0059
3759,1.6122,48.4546,112.5454,1530.0059
3760,1.621,48.758,113.242,1541.9204
3761,1.621,49.0614,113.9386,1541.9204
3762,1.621,49.3648,114.6352,1541.9204
3763,1.6226,49.6676,115.3324,1543.9753
3764,1.6228,49.9738,116.0262,1551.9114
3765,1.6228,50.28,116.72,1551.9114
3766,1.6228,50.5888,117.4112,1555.2914
3767,1.6404,50.898,118.102,1580.3622
3768,1.6536,51.213,118.787,1621.255
3769,1.6566,51.5312,119.4688,1629.315
3770,1.6628,51.8442,120.1558,1631.995
3771,1.6628,52.1572,120.8428,1631.995
3772,1.6752,52.4822,121.5178,1671.839
3773,1.677,52.8064,122.1936,1673.292
3774,1.6794,53.129,122.871,1674.936
3775,1.6852,53.4542,123.5458,1685.856
3776,1.6852,53.7794,124.2206,1685.856
3777,1.701,54.1024,124.8976,1712.8384
3778,1.7014,54.4264,125.5736,1714.8726
3779,1.7014,54.7504,126.2496,1714.8726
3780,1.7014,55.0744,126.9256,1714.8726
3781,1.7036,55.3962,127.6038,1714.8726
3782,1.7166,55.7068,128.2932,1719.5526
3783,1.7178,56.0188,128.9812,1724.3314
3784,1.7202,56.3284,129.6716,1724.3314
3785,1.7258,56.64,130.36,1734.2114
3786,1.7264,56.951,131.049,1734.2114
3787,1.732,57.2604,131.7396,1741.5634
3788,1.7392,57.5732,132.4268,1763.3464
3789,1.7394,57.8858,133.1142,1763.3464
3790,1.7454,58.1964,133.8036,1770.6984
3791,1.7462,58.5086,134.4914,1776.9384
3792,1.7478,58.8192,135.1808,1776.9384
3793,1.748,59.1296,135.8704,1776.9384
3794,1.7618,59.4394,136.5606,1796.118
3795,1.7632,59.7504,137.2496,1802.878
3796,1.7632,60.0614,137.9386,1802.878
3797,1.7676,60.3728,138.6272,1811.7004
3798,1.769,60.6884,139.3116,1823.2084
3799,1.784,61.0144,139.9856,1869.8936
3800,1.7842,61.3402,140.6598,1869.8936
3801,1.788,61.6622,141.3378,1869.8936
3802,1.7884,61.9838,142.0162,1869.8936
3803,1.7884,62.3054,142.6946,1869.8936
3804,1.7972,62.6266,143.3734,1885.3328
3805,1.7972,62.9478,144.0522,1885.3328
3806,1.7972,63.269,144.731,1885.3328
3807,1.7976,63.5898,145.4102,1885.3328
3808,1.7976,63.9106,146.0894,1885.3328
3809,1.7978,64.2314,146.7686,1885.7438
3810,1.8134,64.5504,147.4496,1901.6558
3811,1.8138,64.869,148.131,1901.6558
3812,1.8148,65.1882,148.8118,1904.9438
3813,1.827,65.5094,149.4906,1930.547
3814,1.8308,65.8354,150.1646,1944.2325
3815,1.8418,66.1634,150.8366,1956.1796
3816,1.844,66.491,151.509,1958.5197
3817,1.844,66.8186,152.1814,1958.5197
3818,1.8578,67.1424,152.8576,1976.5796
3819,1.859,67.465,153.535,1976.5796
3820,1.866,67.7856,154.2144,1983.8446
3821,1.8824,68.1022,154.8978,2008.0247
3822,1.8868,68.4326,155.5674,2055.3445
3823,1.8892,68.7606,156.2394,2055.3445
3824,1.8892,69.0886,156.9114,2055.3445
3825,1.8906,69.4168,157.5832,2057.9175
3826,1.8906,69.745,158.255,2057.9175
3827,1.8942,70.078,158.922,2066.984
3828,1.8984,70.412,159.588,2073.744
3829,1.9088,70.7452,160.2548,2087.6926
3830,1.9106,71.0766,160.9234,2087.6926
3831,1.927,71.403,161.597,2110.0625
3832,1.9354,71.7238,162.2762,2112.9746
3833,1.9474,72.0454,162.9546,2142.265
3834,1.966,72.3742,163.6258,2185.6997
3835,1.9696,72.7034,164.2966,2193.4995
3836,1.9696,73.0326,164.9674,2193.4995
3837,1.989,73.3624,165.6376,2222.5596
3838,1.998,73.6932,166.3068,2239.611
3839,2.0012,74.022,166.978,2241.9512
3840,2.002,74.3512,167.6488,2244.0032
3841,2.0098,74.6806,168.3194,2258.7073
3842,2.0168,75.0114,168.9886,2275.8171
3843,2.0168,75.3422,169.6578,2275.8171
