ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3600,0.695,0.305,0.695,0
3601,0.698,0.6084,1.3916,2.337
3602,0.698,0.9126,2.0874,3.377
3603,0.7002,1.2202,2.7798,14.761
3604,0.7104,1.5336,3.4664,34.3124
3605,0.7164,1.8468,4.1532,43.0814
3606,0.7206,2.1578,4.8422,46.9814
3607,0.7254,2.4678,5.5322,53.8714
3608,0.7296,2.7748,6.2252,55.923
3609,0.7296,3.0818,6.9182,55.923
3610,0.7354,3.39,7.61,72.331
3611,0.7412,3.6968,8.3032,79.3308
3612,0.744,4.0008,8.9992,79.3308
3613,0.7498,4.3058,9.6942,97.3912
3614,0.757,4.6072,10.3928,104.008
3615,0.76,4.9094,11.0906,110.9924
3616,0.7686,5.2078,11.7922,120.8564
3617,0.7686,5.5062,12.4938,120.8564
3618,0.7746,5.8084,13.1916,138.6044
3619,0.7752,6.1108,13.8892,140.0748
3620,0.7796,6.4178,14.5822,151.7748
3621,0.7858,6.725,15.275,163.538
3622,0.7888,7.0292,15.9708,163.538
3623,0.7964,7.3308,16.6692,170.1962
3624,0.798,7.6324,17.3676,173.3162
3625,0.7982,7.9338,18.0662,173.3162
3626,0.8072,8.2378,18.7622,190.171
3627,0.8072,8.5418,19.4582,190.171
3628,0.8112,8.845,20.155,196.0526
3629,0.8112,9.1482,20.8518,196.0526
3630,0.8122,9.452,21.548,197.7166
3631,0.8158,9.7584,22.2416,210.0148
3632,0.816,10.0646,22.9354,210.0148
3633,0.8294,10.3688,23.6312,226.198
3634,0.8312,10.6712,24.3288,226.198
3635,0.8378,10.976,25.024,239.275
3636,0.838,11.2806,25.7194,239.275
3637,0.8388,11.5852,26.4148,240.4374
3638,0.839,11.8896,27.1104,240.4374
3639,0.845,12.191,27.809,245.8438
3640,0.8502,12.493,28.507,256.5042
3641,0.8516,12.7946,29.2054,257.8042
3642,0.8564,13.095,29.905,264.421
3643,0.8768,13.3926,30.6074,292.5864
3644,0.8844,13.6982,31.3018,320.4064
3645,0.886,14.0038,31.9962,322.4864
3646,0.8896,14.3058,32.6942,322.4864
3647,0.8904,14.607,33.393,322.4864
3648,0.8934,14.9072,34.0928,326.3176
3649,0.8946,15.2072,34.7928,327.2636
3650,0.9002,15.5068,35.4932,336.8838
3651,0.9022,15.8096,36.1904,349.8588
3652,0.9046,16.11,36.89,349.8588
3653,0.9118,16.4032,37.5968,349.8588
3654,0.9164,16.696,38.304,357.5784
3655,0.9198,16.9862,39.0138,359.6584
3656,0.9202,17.2766,39.7234,360.7756
3657,0.9226,17.566,40.434,363.0132
3658,0.9286,17.8502,41.1498,364.7072
3659,0.9294,18.1336,41.8664,364.7072
3660,0.9316,18.4158,42.5842,366.1602
3661,0.9342,18.6988,43.3012,370.5802
3662,0.9382,18.9782,44.0218,371.1002
3663,0.943,19.2544,44.7456,373.9898
3664,0.947,19.531,45.469,379.951
3665,0.9494,19.8052,46.1948,379.951
3666,0.9512,20.0776,46.9224,379.951
3667,0.965,20.3474,47.6526,401.7498
3668,0.9686,20.616,48.384,406.7096
3669,0.9692,20.884,49.116,406.7096
3670,0.9794,21.1518,49.8482,428.6468
3671,0.9798,21.4192,50.5808,428.6468
3672,0.9814,21.6868,51.3132,432.866
3673,0.9868,21.958,52.042,441.137
3674,0.9894,22.2306,52.7694,447.026
3675,0.9894,22.5032,53.4968,447.026
3676,0.9902,22.775,54.225,447.026
3677,0.9914,23.0456,54.9544,447.026
