ts,utilization,time_in_station,time_in_queue,time_driving,meters_traveled
3599,0.28722227,0.30714285,0.007142857,0.6857143,39.32857
3600,0.287381,0.6142857,0.014285714,1.3714286,63.942856
3601,0.28746036,0.9285714,0.021428572,2.05,78.62143
3602,0.2887302,1.2571429,0.028571429,2.7142856,113.935715
3603,0.2892858,1.5857143,0.035714287,3.3785715,135.43571
3604,0.2885715,1.9142857,0.042857144,4.042857,162.49286
3605,0.28769848,2.2285714,0.05,4.7214284,162.49286
3606,0.28769848,2.5428572,0.057142857,5.4,162.49286
3607,0.2890477,2.8642857,0.06428572,6.071429,172.87143
3608,0.28833342,3.1857142,0.071428575,6.742857,172.87143
3609,0.28912705,3.5,0.07857143,7.4214287,183.25
3610,0.2869842,3.8142858,0.08571429,8.1,183.25
3611,0.2876191,4.1285715,0.092857145,8.778571,183.25
3612,0.2878572,4.4142857,0.1,9.485714,183.25
3613,0.28849217,4.7,0.10714286,10.192857,183.25
3614,0.28849217,4.992857,0.114285715,10.892858,192.53572
3615,0.28904772,5.285714,0.12142857,11.592857,192.53572
3616,0.28984135,5.5857143,0.12857144,12.285714,207.21428
3617,0.2903969,5.9,0.13571429,12.964286,253.93571
3618,0.28246036,6.207143,0.14285715,13.65,253.93571
3619,0.28246036,6.5142856,0.15,14.335714,253.93571
3620,0.28341275,6.8357143,0.15714286,15.007143,282.77142
3621,0.28134927,7.15,0.16428572,15.685715,282.77142
3622,0.28134927,7.457143,0.17142858,16.37143,295.9
3623,0.28246036,7.757143,0.17857143,17.064285,328.17142
3624,0.27873018,8.057143,0.18571429,17.757143,328.17142
3625,0.2799207,8.3714285,0.19285715,18.435715,342.1
3626,0.27746034,8.678572,0.2,19.12143,342.1
3627,0.28055558,8.985714,0.20714286,19.807142,376.47858
3628,0.27904767,9.285714,0.21428572,20.5,389.60715
3629,0.28071433,9.585714,0.22142857,21.192858,404.2857
3630,0.2801588,9.892858,0.22857143,21.87857,417.1857
3631,0.2771429,10.2,0.23571429,22.564285,426.47144
3632,0.28150797,10.535714,0.24285714,23.221428,469.44287
3633,0.27825403,10.8714285,0.25,23.87857,469.44287
3634,0.27825403,11.2,0.25714287,24.542856,483.37143
3635,0.2780953,11.528571,0.27142859,25.2,493.75
3636,0.27801594,11.85,0.2857143,25.864286,493.75
3637,0.27801594,12.164286,0.3,26.535715,504.12857
3638,0.28000003,12.485714,0.31428573,27.2,550.74286
3639,0.27404767,12.814285,0.32857144,27.857143,560.02856
3640,0.27230164,13.135715,0.34285715,28.52143,569.3143
3641,0.27087307,13.435715,0.35714287,29.207144,569.3143
3642,0.27095243,13.728572,0.37142858,29.9,590.07855
3643,0.27523813,14.028571,0.3857143,30.585714,605.9286
3644,0.2710318,14.314285,0.4,31.285715,605.9286
3645,0.27246037,14.6,0.40714285,31.992857,629.20715
3646,0.27007943,14.8785715,0.41428572,32.70714,635.9643
3647,0.27031752,15.157143,0.42142856,33.42143,635.9643
3648,0.27119052,15.442857,0.42857143,34.12857,646.34283
3649,0.27230164,15.721429,0.43571427,34.842857,646.34283
3650,0.272381,16.007143,0.44285715,35.55,655.6286
3651,0.27230164,16.292856,0.45,36.25714,666.00714
3652,0.2721429,16.578571,0.45714286,36.964287,666.00714
3653,0.2721429,16.864286,0.4642857,37.67143,666.00714
3654,0.27253976,17.157143,0.47142857,38.37143,679.13574
3655,0.27198422,17.45,0.47857141,39.07143,679.13574
3656,0.27214292,17.75,0.4857143,39.764286,708.0857
3657,0.2707937,18.057142,0.49285713,40.45,715.74286
3658,0.27023813,18.364286,0.5,41.135715,725.02856
