ts,number_of_pods,time_in_station,time_in_pods,meters_traveled
3599,0.7086,0.2914,0.7086,0
3600,0.7194,0.5874,1.4126,24.423
3601,0.7216,0.886,2.114,31.871
3602,0.7302,1.1828,2.8172,41.7514
3603,0.7428,1.476,3.524,53.4514
3604,0.7462,1.7658,4.2342,53.4514
3605,0.7532,2.0602,4.9398,67.7662
3606,0.7584,2.3546,5.6454,74.5262
3607,0.7626,2.6508,6.3492,82.6682
3608,0.7648,2.9474,7.0526,86.446
3609,0.7756,3.2422,7.7578,104.655
3610,0.784,3.5402,8.4598,131.8454
3611,0.7862,3.8388,9.1612,134.7574
3612,0.7872,4.1364,9.8636,134.7574
3613,0.7958,4.4304,10.5696,142.0224
3614,0.8118,4.7272,11.2728,174.416
3615,0.8276,5.0194,11.9806,191.682
3616,0.8348,5.309,12.691,200.652
3617,0.8368,5.5974,13.4026,202.732
3618,0.8418,5.8888,14.1112,218.542
3619,0.8454,6.18,14.82,221.636
3620,0.8498,6.4772,15.5228,231.1936
3621,0.8512,6.7742,16.2258,236.1268
3622,0.8536,7.0714,16.9286,239.5068
3623,0.8664,7.3716,17.6284,263.2822
3624,0.867,7.6712,18.3288,263.2822
3625,0.8792,7.9692,19.0308,286.5942
3626,0.8792,8.2672,19.7328,286.5942
3627,0.8792,8.5652,20.4348,286.5942
3628,0.8938,8.8598,21.1402,308.399
3629,0.8944,9.1538,21.8462,308.399
3630,0.9034,9.4518,22.5482,327.89
3631,0.9096,9.7452,23.2548,330.2148
3632,0.9186,10.042,23.958,343.8908
3633,0.922,10.3386,24.6614,349.0364
3634,0.9224,10.6348,25.3652,349.0364
3635,0.9246,10.9288,26.0712,349.0364
3636,0.9246,11.2228,26.7772,349.0364
3637,0.9334,11.5188,27.4812,364.7288
3638,0.9408,11.823,28.177,387.3956
3639,0.9446,12.127,28.873,394.0124
3640,0.9616,12.4302,29.5698,416.8472
3641,0.9638,12.7312,30.2688,416.8472
3642,0.9726,13.0326,30.9674,430.34
3643,0.9832,13.337,31.663,462.2598
3644,0.9834,13.6412,32.3588,462.2598
3645,0.991,13.9378,33.0622,462.2598
3646,0.991,14.2344,33.7656,462.2598
3647,0.992,14.53,34.47,462.2598
3648,0.9958,14.8246,35.1754,466.1752
3649,1.0032,15.117,35.883,473.2316
3650,1.007,15.4168,36.5832,490.3998
3651,1.0106,15.7138,37.2862,491.4398
3652,1.0162,16.0058,37.9942,493.184
3653,1.0372,16.3028,38.6972,532.5792
3654,1.0474,16.6002,39.3998,553.2492
3655,1.0546,16.8996,40.1004,563.9488
3656,1.055,17.1986,40.8014,563.9488
3657,1.0606,17.493,41.507,566.6288
3658,1.063,17.785,42.215,566.6288
3659,1.0706,18.0742,42.9258,578.4206
3660,1.0754,18.363,43.637,585.9434
3661,1.0776,18.6526,44.3474,589.8434
3662,1.0826,18.9442,45.0558,603.4934
3663,1.0904,19.241,45.759,627.4322
3664,1.091,19.5372,46.4628,627.4322
3665,1.0912,19.836,47.164,631.5006
3666,1.0926,20.1364,47.8636,635.8596
3667,1.0926,20.4368,48.5632,635.8596
3668,1.0942,20.7356,49.2644,635.8596
3669,1.1036,21.0344,49.9656,653.7996
3670,1.105,21.3398,50.6602,665.4236
3671,1.1056,21.6446,51.3554,665.4236
3672,1.1072,21.9478,52.0522,665.4236
3673,1.1096,22.2486,52.7514,665.4236
3674,1.1262,22.5474,53.4526,687.7854
3675,1.136,22.8452,54.1548,701.1622
3676,1.1438,23.1352,54.8648,701.1622
3677,1.1452,23.4238,55.5762,701.1622
3678,1.1458,23.7118,56.2882,701.1622
3679,1.1458,23.9998,57.0002,701.1622
3680,1.1466,24.291,57.709,706.3622
3681,1.1552,24.586,58.414,727.6904
3682,1.16,24.8762,59.1238,727.6904
3683,1.1624,25.168,59.832,735.0424
3684,1.1642,25.4596,60.5404,738.3304
